miRTarBase_ID	miRNA	Species_miRNA	Target_Gene	Target_Gene_Entrez_ID	Species_Target_Gene	Experiments	Support_Type	References_PMID
MIRT000431	rno-miR-215	Rattus_norvegicus	Zeb2	311071	Rattus_norvegicus	qRT_PCR-Luciferase_reporter_assay-Western_blot	Functional_MTI	20393144
MIRT000432	rno-miR-192-5p	Rattus_norvegicus	Zeb2	311071	Rattus_norvegicus	qRT_PCR-Luciferase_reporter_assay-Western_blot	Functional_MTI	20393144
MIRT000503	rno-miR-145-5p	Rattus_norvegicus	Sod2	24787	Rattus_norvegicus	qRT_PCR-Western_blot-Microarray	Functional_MTI	19142192
MIRT000950	rno-miR-126a-3p	Rattus_norvegicus	Cyp2a3	24299	Rattus_norvegicus	Luciferase_reporter_assay-Western_blot	Functional_MTI	18780894
MIRT001092	rno-miR-133b-3p	Rattus_norvegicus	Klf15	85497	Rattus_norvegicus	Western_blot	Functional_MTI	19720047
MIRT001093	rno-miR-133a-3p	Rattus_norvegicus	Klf15	85497	Rattus_norvegicus	Western_blot	Functional_MTI	19720047
MIRT001101	rno-miR-27b-3p	Rattus_norvegicus	Rxra	25271	Rattus_norvegicus	Luciferase_reporter_assay-qRT_PCR-Western_blot	Functional_MTI	19185571
MIRT001102	rno-miR-27a-3p	Rattus_norvegicus	Rxra	25271	Rattus_norvegicus	Luciferase_reporter_assay-qRT_PCR-Western_blot	Functional_MTI	19185571
MIRT001211	rno-miR-222-3p	Rattus_norvegicus	Cdkn1b	83571	Rattus_norvegicus	qRT_PCR-Luciferase_reporter_assay-Western_blot	Functional_MTI	19150885
MIRT001212	rno-miR-222-3p	Rattus_norvegicus	Cdkn1c	246060	Rattus_norvegicus	qRT_PCR-Luciferase_reporter_assay-Western_blot	Functional_MTI	19150885
MIRT001213	rno-miR-221-3p	Rattus_norvegicus	Cdkn1b	83571	Rattus_norvegicus	qRT_PCR-Luciferase_reporter_assay-Western_blot	Functional_MTI	19150885
MIRT001214	rno-miR-221-3p	Rattus_norvegicus	Cdkn1c	246060	Rattus_norvegicus	qRT_PCR-Luciferase_reporter_assay-Western_blot	Functional_MTI	19150885
MIRT001218	rno-miR-21-5p	Rattus_norvegicus	Pdcd4	64031	Rattus_norvegicus	Luciferase_reporter_assay-Western_blot	Functional_MTI	19158092
MIRT001218	rno-miR-21-5p	Rattus_norvegicus	Pdcd4	64031	Rattus_norvegicus	Western_blot-qRT_PCR-GFP_reporter_assay-Luciferase_reporter_assay	Functional_MTI	19336275
