""	"logFC"	"Fold Change"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"
"hsa-miR-381-3p"	609.095598394376	2.27010185521162e+183	640.662990326105	68.0116387798056	1.1801904859361e-17	9.05206102712988e-15
"hsa-miR-573"	103.110302611775	1.09469705098188e+31	100.225434868639	59.9080848679201	5.88238181701663e-17	1.62817297748056e-14
"hsa-miR-502-5p"	136.548477009572	1.27405284538448e+41	126.817594171214	59.5335221227106	6.3683428063125e-17	1.62817297748056e-14
"hsa-miR-548d-3p"	106.205505202978	9.35497800499121e+31	101.368969522598	55.3409896297349	1.60434248411398e-16	2.38450999020628e-14
"hsa-miR-106b-3p"	133.421691602356	1.45858332593726e+40	139.27930079919	54.6320950720561	1.88849969489982e-16	2.38450999020628e-14
"hsa-miR-125a-3p"	170.33522349699	1.88804173766061e+51	157.434770483748	54.2374110021552	2.06986832505204e-16	2.38450999020628e-14
"hsa-miR-651-5p"	104.290397968317	2.48049324223285e+31	101.67153154316	54.0229688373099	2.17621511492099e-16	2.38450999020628e-14
"hiv1-miR-N367"	102.193479827226	5.79832813857355e+30	95.9956626781792	53.0604477223734	2.73170914092449e-16	2.51583088826267e-14
"hsa-miR-92a-1-5p"	83.38196463517	1.26029569445041e+25	83.5861365796625	52.5683960866371	3.07323605785697e-16	2.51583088826267e-14
"hsa-miR-613"	85.094075800128	4.12923185587904e+25	81.5808636612288	52.1391956036679	3.4088790485694e-16	2.51583088826267e-14
"ebv-miR-BART4-5p"	96.1232264461866	8.62927760060282e+28	97.0916984953097	51.9054824916862	3.60810166504425e-16	2.51583088826267e-14
"hsa-miR-10a-5p"	114.300641252498	2.5581236961255e+34	108.687656829405	51.1943552438832	4.29553513377071e-16	2.65794385904677e-14
"hsa-miR-30c-1-3p"	117.039554200746	1.70771932706749e+35	115.411323071158	50.5852504871044	4.99716319888711e-16	2.65794385904677e-14
"hsa-miR-19a-5p"	76.0234431609968	7.67956755502831e+22	76.5499262269936	50.567323935109	5.01960088795591e-16	2.65794385904677e-14
"hsa-miR-16-2-3p"	98.434379877102	4.28253526197788e+29	97.1155161771164	50.4277456928958	5.19806491339003e-16	2.65794385904677e-14
"hsa-miR-612"	125.112837866993	4.59956796568064e+37	116.088277473888	49.8781975827804	5.97016195761786e-16	2.76221415059007e-14
"hsa-miR-188-5p"	90.6713168039827	1.97145153159043e+27	91.0592961749448	49.7019561186262	6.24329220421472e-16	2.76221415059007e-14
"hsa-miR-767-5p"	87.0305007863694	1.58048826052155e+26	88.6460726392105	49.5543748533249	6.48238001442258e-16	2.76221415059007e-14
"hsa-miR-548a-3p"	99.6937381867511	1.02519286288869e+30	97.4627031175858	48.8369652231353	7.79406392925459e-16	3.14634054407277e-14
"hsa-miR-26b-3p"	105.114554544583	4.39171247118774e+31	101.01606910988	48.4464787985582	8.62610394542453e-16	3.30811086307031e-14
"hsa-miR-760"	111.672720290715	4.13845755088589e+33	108.198530431082	48.1722269524895	9.26752226648537e-16	3.38485218018775e-14
"ebv-miR-BHRF1-1"	356.264780086672	1.76353955368283e+107	374.904502509273	47.876919612883	1.00161520861567e-15	3.49199484094644e-14
"hsa-miR-569"	77.771056603232	2.57881882629075e+23	79.6622773392821	47.657224525948	1.06153365354376e-15	3.53998396638289e-14
"hsa-miR-378a-5p"	83.9847001627098	1.91387657025928e+25	87.9331954533017	45.762738715267	1.77183819949546e-15	5.66249957922092e-14
"hsa-miR-148a-5p"	79.2186996273339	7.03403954101668e+23	76.9823880536276	45.5307086949463	1.88928679135318e-15	5.77034542828245e-14
"hsa-miR-629-3p&hsa-miR-629-5p"	128.114302600608	3.68339213433686e+38	123.277139410098	45.4056477473036	1.95604929772286e-15	5.77034542828245e-14
"ebv-miR-BART3-3p"	75.3167300066939	4.70538222256793e+22	80.6277219163726	45.172268124729	2.08753948040381e-15	5.93015844988786e-14
"hsa-miR-512-3p"	100.729839885975	2.10234150382324e+30	99.5283051711258	44.6870660206526	2.39244565015471e-15	6.55359219167378e-14
"ebv-miR-BART14-5p"	107.613787192273	2.48300670253572e+32	104.674523345767	44.4142077448115	2.58474477936749e-15	6.83620429577538e-14
"hsa-miR-24-1-5p"	460.91182698118	5.60125413619851e+138	435.331761160944	43.8045291309362	3.07738541821892e-15	7.11819014504099e-14
"hsa-miR-450b-5p"	80.640310679932	1.88431009284561e+24	79.7306126582127	43.7933092960638	3.08735031689259e-15	7.11819014504099e-14
"hsa-miR-493-5p"	106.533468110105	1.17427399493775e+32	104.621297859877	43.7761683902342	3.1026412570545e-15	7.11819014504099e-14
"hsa-miR-875-5p"	91.9983990768509	4.94626835849173e+27	86.0647674190064	43.6488935145295	3.21876664614684e-15	7.11819014504099e-14
"hsa-miR-520g-3p"	100.972535124626	2.48749267619557e+30	101.395597298352	43.5699167108469	3.29317533976735e-15	7.11819014504099e-14
"hsa-miR-488-5p"	112.64731489367	8.13243711996872e+33	107.197446331376	43.5133687971395	3.34759107653972e-15	7.11819014504099e-14
"hsa-miR-362-3p"	121.909577079429	4.99389560760459e+36	123.252495037054	43.4818435447248	3.37834792779636e-15	7.11819014504099e-14
"hsa-miR-26a-5p"	14199.7681072653	Inf	14478.1081203838	43.4257728344264	3.43380750151912e-15	7.11819014504099e-14
"hsa-miR-497-3p"	81.5146057106524	3.45415167265887e+24	81.0403547033796	43.3181000214033	3.543078947856e-15	7.1514251394883e-14
"hsa-miR-431-3p"	116.580304681097	1.24213446647007e+35	110.536765584347	42.9118415366435	3.9903925450364e-15	7.84777200523825e-14
"hsa-miR-330-3p"	166.951049401382	1.80831330367788e+50	188.906025564912	42.682878415163	4.26903310193134e-15	8.18587097295334e-14
"hsa-miR-208b-3p"	86.6354301292982	1.20188566730707e+26	95.7431048088311	42.4041435769626	4.63688004833714e-15	8.60541365456748e-14
"ebv-miR-BART6-5p"	74.8991773640121	3.52288962929599e+22	77.7077775027709	42.3499997440105	4.71222129715559e-15	8.60541365456748e-14
"hsa-miR-19b-1-5p"	85.2795541562941	4.69573757356815e+25	82.5374130711696	42.1986584059885	4.92990233655634e-15	8.79356998171793e-14
"hsa-miR-563"	78.9978630809522	6.03568242454038e+23	77.5484654756837	41.8944720928789	5.4009391520141e-15	9.41481893089731e-14
"ebv-miR-BART10-5p"	104.389258341002	2.65642761158696e+31	100.969731253526	41.5309314547495	6.0284731510047e-15	1.02751975707124e-13
"hsa-miR-15a-5p"	1369.39964550713	Inf	1375.51691166463	41.4292978743134	6.21766045955314e-15	1.02949823169948e-13
"ebv-miR-BART17-3p"	108.982662883478	6.41284193189933e+32	102.096068309859	41.3816613291452	6.30852892957959e-15	1.02949823169948e-13
"hsa-miR-616-5p"	109.486565149527	9.09369182207013e+32	102.480557780052	41.2555631268097	6.5560500882975e-15	1.04760217035921e-13
"hsa-miR-330-5p"	242.987284434521	1.40107434153358e+73	239.746766604501	41.1789421370356	6.71155120442705e-15	1.05056321914195e-13
"hsa-miR-517a-3p"	94.2654054783589	2.38075443710127e+28	90.5276881353729	41.1067464886655	6.86171482767428e-15	1.05258705456524e-13
"hsa-miR-500a-3p"	217.657301040326	3.32182223983636e+65	214.002368517073	40.9755970143203	7.14384876539669e-15	1.07437882412927e-13
"hsa-miR-346"	76.7115500268723	1.23730729069901e+23	80.829462458217	40.3260504179249	8.73826095063477e-15	1.28889349021863e-13
"hsa-miR-145-3p"	109.812516635892	1.13988596597549e+33	111.781643850722	40.2319472753491	8.99944241490413e-15	1.30237213815688e-13
"hsa-miR-541-5p"	87.1590919619827	1.72783025892481e+26	90.5126925674153	40.0355493914352	9.57206069924501e-15	1.32862864389506e-13
"hsa-miR-639"	76.0637130419472	7.89694670776463e+22	81.3894502042145	40.0066757188485	9.65950562971012e-15	1.32862864389506e-13
"hsa-miR-593-5p"	85.183534953851	4.39338393662677e+25	90.6980964914836	39.9932208188305	9.70054811709561e-15	1.32862864389506e-13
"hsa-miR-375-3p"	97.4187285538183	2.11816327615096e+29	94.487682934933	39.8726884763362	1.00767165379101e-14	1.35593712010123e-13
"hsa-miR-326"	240.147019885168	1.95639414650434e+72	229.236112593568	39.6982074926783	1.0649385805634e-14	1.40828946774504e-13
"hsa-miR-606"	72.7245958180979	7.80341607225387e+21	75.5528558455185	39.5330904628748	1.12237420672132e-14	1.45908646873772e-13
"hsa-miR-202-5p"	89.9244641517014	1.17479219810174e+27	81.8919424981299	39.2711153186591	1.22046778544692e-14	1.56016465239631e-13
"hsa-miR-148a-3p"	100.431967797512	1.71015246457673e+30	102.392414635397	39.1432305211157	1.27167632508001e-14	1.57814324108838e-13
"hsa-miR-373-5p"	95.0832533863766	4.19673314244526e+28	101.585260991673	39.0959537982457	1.29118969870594e-14	1.57814324108838e-13
"hsa-miR-892a"	86.7408114970486	1.29296303498504e+26	85.5801176772713	39.0837992537917	1.29625846399698e-14	1.57814324108838e-13
"hsa-miR-604"	84.8179433101611	3.40992719790751e+25	84.7190964548414	38.9625315643082	1.34802155269158e-14	1.61551957955382e-13
"hsa-let-7f-2-3p"	96.3348204692685	9.99241788782151e+28	92.7365741407393	38.9063969018471	1.37273335842064e-14	1.61661001129897e-13
"hsa-miR-372-3p"	92.4878210611809	6.9439785881605e+27	95.1168993310206	38.858426596854	1.39423820267762e-14	1.61661001129897e-13
"hsa-miR-615-5p"	93.4858707730979	1.38691956104592e+28	94.6863850495523	38.7911797266109	1.42499833539106e-14	1.61661001129897e-13
