""	"logFC"	"Fold Change"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"
"hsa-miR-381-3p"	616.645273507206	4.25328035409786e+185	640.662990326105	68.8546358036427	1.00969376885225e-17	7.74435120709672e-15
"hsa-miR-106b-3p"	150.560214252562	2.10445984589976e+45	139.27930079919	61.6497950245582	4.09275749358984e-17	1.19472237130326e-14
"hsa-miR-502-5p"	138.869052003652	6.36429236971889e+41	126.817594171214	60.5452653934744	5.14515820647545e-17	1.19472237130326e-14
"hsa-miR-573"	102.642786639264	7.91694480137347e+30	100.225434868639	59.6364535580618	6.23062514369367e-17	1.19472237130326e-14
"hsa-miR-548d-3p"	110.492713792932	1.82650621363816e+33	101.368969522598	57.574945069839	9.72453724811384e-17	1.49174401386066e-14
"hsa-miR-651-5p"	107.319072494331	2.02423032916349e+32	101.67153154316	55.5918380019179	1.51513845427885e-16	1.80157905918041e-14
"hsa-miR-125a-3p"	173.464164922156	1.65164540848829e+52	157.434770483748	55.2337151052896	1.64420513875657e-16	1.80157905918041e-14
"hsa-miR-612"	136.341111576601	1.10347939151249e+41	116.088277473888	54.3545252254859	2.01416631525079e-16	1.9310819547467e-14
"ebv-miR-BART4-5p"	98.4911653691316	4.45446021111832e+29	97.0916984953097	53.184143402794	2.65244933952976e-16	2.26047627046592e-14
"hsa-miR-613"	85.776522577888	6.62683595158865e+25	81.5808636612288	52.5573472282099	3.08141489081516e-16	2.26283507390662e-14
"hsa-miR-92a-1-5p"	83.0235459444074	9.83054681327243e+24	83.5861365796625	52.3424300065224	3.24526542542019e-16	2.26283507390662e-14
"hiv1-miR-N367"	99.6103476119021	9.67614816208717e+29	95.9956626781792	51.7192452102085	3.77584422956912e-16	2.37035845303877e-14
"hsa-miR-19a-5p"	77.2113498508967	1.74957397862568e+23	76.5499262269936	51.357465237518	4.12623084445473e-16	2.37035845303877e-14
"hsa-miR-188-5p"	93.340679063056	1.2541347847353e+28	91.0592961749448	51.1651809899711	4.32659952314768e-16	2.37035845303877e-14
"hsa-miR-30c-1-3p"	117.269246105954	2.00244523233413e+35	115.411323071158	50.6845248105512	4.8748489971675e-16	2.37595645428447e-14
"hsa-miR-330-3p"	197.566959114972	2.97564313568401e+59	188.906025564912	50.5101736406816	5.09186109521901e-16	2.37595645428447e-14
"ebv-miR-BHRF1-1"	373.925504046272	3.65420461453078e+112	374.904502509273	50.2502697405981	5.43493039045933e-16	2.37595645428447e-14
"hsa-miR-10a-5p"	111.965704776953	5.07032296495445e+33	108.687656829405	50.1485556220169	5.57590823691271e-16	2.37595645428447e-14
"hsa-miR-16-2-3p"	97.1006123704674	1.69901385661884e+29	97.1155161771164	49.7444591346629	6.17621219778368e-16	2.49323934510531e-14
"hsa-miR-760"	114.315527573027	2.58465611889141e+34	108.198530431082	49.3122539157782	6.89628014865392e-16	2.51180659245457e-14
"hsa-miR-767-5p"	86.6007848758158	1.1733670696896e+26	88.6460726392105	49.3096985258351	6.90079765095026e-16	2.51180659245457e-14
"hsa-miR-26b-3p"	106.623269895969	1.24969051750466e+32	101.01606910988	49.1418339432444	7.20466036949159e-16	2.51180659245457e-14
"hsa-miR-548a-3p"	99.4041903016717	8.38770167418243e+29	97.4627031175858	48.695124418976	8.08582886986701e-16	2.69644814921217e-14
"hsa-miR-569"	78.5635880397414	4.46680061180524e+23	79.6622773392821	48.1428788331318	9.3391495114844e-16	2.98463653137856e-14
"hsa-miR-378a-5p"	85.1250130204407	4.21873552868815e+25	87.9331954533017	46.3840880712913	1.49438961642111e-15	4.58478734317996e-14
"hsa-miR-629-3p&hsa-miR-629-5p"	129.905427236801	1.27476519626163e+39	123.277139410098	46.0404494255832	1.64151833388442e-15	4.84247908495903e-14
"ebv-miR-BART14-5p"	109.960293938967	1.26283557462875e+33	104.674523345767	45.3826546403388	1.96859850983709e-15	5.59227798905573e-14
