""	"logFC"	"Fold Change"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"
"hsa-miR-381-3p"	669.58471604012	3.67353486667342e+201	640.662990326105	74.7658560656902	3.55650263618227e-18	2.7278375219518e-15
"hsa-miR-573"	100.164875443216	1.4211241520355e+30	100.225434868639	58.1967631443215	8.48862613051941e-17	3.2553881210542e-14
"hsa-miR-106b-3p"	136.410569553347	1.15790561824487e+41	139.27930079919	55.8559490227611	1.42696700040784e-16	3.50052782001559e-14
"hsa-miR-208b-3p"	106.938797120606	1.55519780108373e+32	95.7431048088311	52.3417278621711	3.2458158865737e-16	3.50052782001559e-14
"ebv-miR-BART3-3p"	87.0804534121237	1.63617033032227e+26	80.6277219163726	52.2277266897516	3.3365391219196e-16	3.50052782001559e-14
"hsa-miR-92a-1-5p"	81.6606299851164	3.82207399179706e+24	83.5861365796625	51.4831757745756	4.00065862592428e-16	3.50052782001559e-14
"hsa-miR-502-5p"	117.883046620486	3.06431221954156e+35	126.817594171214	51.3956150780158	4.08767963245302e-16	3.50052782001559e-14
"ebv-miR-BHRF1-1"	381.864425150874	8.96698095574054e+114	374.904502509273	51.317147828984	4.16739896471414e-16	3.50052782001559e-14
"hsa-miR-651-5p"	98.0421904001051	3.26317339166777e+29	101.67153154316	50.786364803551	4.75272119800547e-16	3.50052782001559e-14
"hsa-miR-767-5p"	88.6996215350345	5.02628009058415e+26	88.6460726392105	50.5047570125388	5.09876779372546e-16	3.50052782001559e-14
"hsa-miR-19a-5p"	75.4881507079387	5.29904588695462e+22	76.5499262269936	50.2112718313325	5.48852263603477e-16	3.50052782001559e-14
"hsa-miR-330-3p"	194.128750614799	2.74521874584317e+58	188.906025564912	49.6311576901678	6.35677985761396e-16	3.50052782001559e-14
"hsa-miR-378a-5p"	91.0563301134489	2.57446302768941e+27	87.9331954533017	49.616025719921	6.38132330804092e-16	3.50052782001559e-14
"ebv-miR-BART4-5p"	91.8741063012154	4.53797210025892e+27	97.0916984953097	49.6110044613077	6.38949015387461e-16	3.50052782001559e-14
"hsa-miR-569"	79.3779714745819	7.85507631643702e+23	79.6622773392821	48.641923797924	8.19828095965624e-16	4.12744416846156e-14
"hsa-miR-548d-3p"	92.6081784301853	7.54813312773917e+27	101.368969522598	48.255768214074	9.06685442755796e-16	4.12744416846156e-14
"hsa-miR-188-5p"	87.7798299539199	2.65681815574439e+26	91.0592961749448	48.116972491995	9.40287291519321e-16	4.12744416846156e-14
"hsa-miR-30c-1-3p"	110.944564519216	2.49828382499056e+33	115.411323071158	47.9509566207105	9.82252798595366e-16	4.12744416846156e-14
"hsa-miR-10a-5p"	106.339278603204	1.02639038930803e+32	108.687656829405	47.6285237382403	1.06964253761951e-15	4.12744416846156e-14
"hiv1-miR-N367"	91.5975782460399	3.74643827954385e+27	95.9956626781792	47.5588904520814	1.08959510642517e-15	4.12744416846156e-14
"hsa-miR-613"	77.1139711439007	1.63537893384005e+23	81.5808636612288	47.2495927294788	1.18320050697653e-15	4.12744416846156e-14
"hsa-miR-16-2-3p"	92.2264556425004	5.79334700345887e+27	97.1155161771164	47.2474379084194	1.18388229082339e-15	4.12744416846156e-14
"hsa-miR-548a-3p"	94.8698811020835	3.61976100207932e+28	97.4627031175858	46.4739026580223	1.45832458888784e-15	4.84509586073912e-14
"ebv-miR-BART6-5p"	81.9402710841634	4.63958834915672e+24	77.7077775027709	46.3312226057349	1.51606650140468e-15	4.84509586073912e-14
"hsa-miR-346"	87.3146357292916	1.92452880187898e+26	80.829462458217	45.8999251274251	1.70611963239531e-15	5.23437503218882e-14
"hsa-miR-125a-3p"	142.750252699903	9.37795082883677e+42	157.434770483748	45.4539229608193	1.92998136244858e-15	5.60398047703275e-14
"hsa-miR-26a-5p"	14837.1909156335	Inf	14478.1081203838	45.3751411527386	1.9727180297247e-15	5.60398047703275e-14
"hsa-miR-520g-3p"	104.708994813388	3.31549406368133e+31	101.395597298352	45.1822089765791	2.08174837922664e-15	5.70250359595297e-14
"hsa-miR-26b-3p"	96.3531545604612	1.01202140802155e+29	101.01606910988	44.4084178429137	2.58900165772288e-15	6.7272555842542e-14
"hsa-miR-639"	84.1451376362003	2.13899819342136e+25	81.3894502042145	44.2572036007876	2.70289854083585e-15	6.7272555842542e-14
"hsa-miR-760"	102.548748978708	7.41736175048617e+30	108.198530431082	44.2364222581484	2.71896901058514e-15	6.7272555842542e-14
"hsa-miR-362-3p"	123.592133512482	1.60302175150777e+37	123.252495037054	44.0819658429878	2.84169031755741e-15	6.81117647989541e-14
"hsa-miR-1296-5p"	139.341351707454	8.82930461244957e+41	132.343820918717	43.951697984803	2.94983959466773e-15	6.85614233063682e-14
"hsa-miR-450b-5p"	80.1637883236725	1.35426873231175e+24	79.7306126582127	43.5345244432004	3.32712044809675e-15	7.50559230497119e-14
"hsa-miR-493-5p"	105.598590184173	6.1424714315211e+31	104.621297859877	43.3920133051147	3.4676719581763e-15	7.5991554054892e-14
"hsa-miR-148a-5p"	75.2701646151646	4.55593299007198e+22	76.9823880536276	43.2613001050981	3.60222788056908e-15	7.67474662332357e-14
"hsa-miR-373-5p"	104.509028801965	2.88637322425696e+31	101.585260991673	42.9716066291707	3.92093255442845e-15	8.12798721418005e-14
"hsa-miR-593-5p"	91.3285195905521	3.10902243769996e+27	90.6980964914836	42.8782587271194	4.03000435013369e-15	8.1342456225067e-14
"hsa-miR-606"	78.5549061192535	4.4400008009963e+23	75.5528558455185	42.7024471567054	4.24441751724768e-15	8.3473544505871e-14
"hsa-miR-145-3p"	116.18417225168	9.43888878849773e+34	111.781643850722	42.5663270040375	4.41886919983583e-15	8.45784028684743e-14
"hsa-miR-512-3p"	95.7755844544499	6.78146887860802e+28	99.5283051711258	42.4891955603961	4.52114017940997e-15	8.45784028684743e-14
"hsa-miR-624-5p&hsa-miR-624-3p"	88.6708855368572	4.92715572630273e+26	80.019613853482	42.3126001596816	4.76503314127464e-15	8.70185814132774e-14
"hsa-miR-506-3p"	111.656069310265	4.09096779195061e+33	105.08663019966	41.9739067159948	5.27342540615877e-15	9.40631927098553e-14
"hsa-miR-497-3p"	78.7675720456345	5.14519538423522e+23	81.0403547033796	41.8582845929168	5.46012850834985e-15	9.51799674069166e-14
"hsa-miR-372-3p"	98.5562179260489	4.65991349781682e+29	95.1168993310206	41.40804179406	6.25803163978227e-15	1.06664672615844e-13
"hsa-miR-15a-5p"	1364.83059896125	Inf	1375.51691166463	41.2910676717777	6.48531519259558e-15	1.07552741772152e-13
"hsa-miR-629-3p&hsa-miR-629-5p"	115.898437612524	7.74294495692697e+34	123.277139410098	41.0761603183573	6.92642160099915e-15	1.07552741772152e-13
"hsa-miR-218-2-3p"	168.698341277534	6.07100993102071e+50	144.652506075839	40.9846716065195	7.12392978372872e-15	1.07552741772152e-13
"ebv-miR-BART14-5p"	99.2682651013823	7.63352993527297e+29	104.674523345767	40.9698558494408	7.15648178976493e-15	1.07552741772152e-13
"hsa-miR-374a-3p"	101.670042618133	4.03396836878454e+30	96.2151269960653	40.947192285764	7.20658707065058e-15	1.07552741772152e-13
"hsa-miR-542-5p"	105.027032692223	4.13320737784265e+31	103.026871891551	40.940242796602	7.22202688120734e-15	1.07552741772152e-13
"hsa-miR-148a-3p"	104.962695283889	3.95293530126591e+31	102.392414635397	40.9090757426808	7.29171130658657e-15	1.07552741772152e-13
"hsa-miR-612"	101.319694182901	3.16422312791663e+30	116.088277473888	40.3926872065209	8.55825947731752e-15	1.23852547530237e-13
"hsa-miR-541-5p"	87.6612148554451	2.44711921880037e+26	90.5126925674153	40.2661938996473	8.90343019159985e-15	1.24215300624646e-13
"hsa-miR-488-5p"	104.237511951685	2.3912102895739e+31	107.197446331376	40.2648328043265	8.90722494700853e-15	1.24215300624646e-13
"hsa-miR-24-1-5p"	420.747030473704	4.54440217610352e+126	435.331761160944	39.9873131350409	9.71862813225489e-15	1.33110496025705e-13
"hsa-miR-521"	99.8439151643348	1.13766225383371e+30	97.0374699110908	39.8816901853496	1.00480867022744e-14	1.35208464923588e-13
"hsa-miR-375-3p"	97.1618152908995	1.77264118652692e+29	94.487682934933	39.7675359799952	1.04177458195214e-14	1.37765707647808e-13
"hsa-miR-33a-3p"	99.9228080766602	1.20160708960562e+30	91.7670736772895	39.5946625235962	1.10057519999181e-14	1.39346663272294e-13
"ebv-miR-BART13-3p"	289.330901290049	1.25106524898088e+87	290.363882554706	39.5636446125167	1.11149917975018e-14	1.39346663272294e-13
"hsa-miR-563"	74.5782546096554	2.82027632544328e+22	77.5484654756837	39.5506471267218	1.116111378975e-14	1.39346663272294e-13
"hsa-miR-500a-3p"	209.110743153294	8.88394998177872e+62	214.002368517073	39.3666442699613	1.18366722552181e-14	1.39346663272294e-13
"ebv-miR-BART10-5p"	98.9226483564805	6.00737033769143e+29	100.969731253526	39.3560582142924	1.18768571174715e-14	1.39346663272294e-13
"hsa-miR-19b-1-5p"	79.5124281919293	8.62235528133845e+23	82.5374130711696	39.3449265711748	1.1919271746127e-14	1.39346663272294e-13
"hsa-miR-567"	90.8866920414673	2.28886675467243e+27	87.7188656457543	39.3133101123394	1.20406322946823e-14	1.39346663272294e-13
"hsa-miR-431-3p"	106.72333741707	1.33944782049642e+32	110.536765584347	39.2836076044811	1.2155860486973e-14	1.39346663272294e-13
"hsa-miR-330-5p"	231.778357951831	5.91886029447107e+69	239.746766604501	39.2793705766424	1.2172394314529e-14	1.39346663272294e-13
"hsa-miR-192-5p"	161.790677434559	5.05646408165397e+48	157.439724365449	39.1290828883845	1.27748218117087e-14	1.44092475435008e-13
"hsa-miR-92b-5p"	87.9546397946238	2.99905780087482e+26	84.1745066728486	39.0369300153735	1.31600596594964e-14	1.44592089359224e-13
"hsa-miR-641"	90.6384952751682	1.92710704764454e+27	87.5576702440386	39.0284464698599	1.31961489636841e-14	1.44592089359224e-13
"hsa-miR-182-5p"	112.463695078266	7.16053780119288e+33	105.713261975394	38.9768432070996	1.34179824789301e-14	1.44952007906189e-13
"hsa-miR-502-3p"	139.029264531948	7.11178959228409e+41	135.681361718658	38.7805035064009	1.42994880221622e-14	1.52329268236089e-13
"hsa-miR-218-1-3p"	87.2006931546379	1.77837883982843e+26	83.1289636886179	38.5742592648994	1.52931326405072e-14	1.60682640209164e-13
"hsa-miR-875-5p"	80.7409512577987	2.02045046335751e+24	86.0647674190064	38.3077664293863	1.66887410861781e-14	1.72976546122954e-13
"hsa-miR-875-3p"	103.625484781504	1.5645132099342e+31	104.833068904692	38.106275277533	1.78349729368085e-14	1.82392323233762e-13
"hsa-miR-604"	82.7927257476747	8.37710333800865e+24	84.7190964548414	38.0322142266852	1.82773833971786e-14	1.8445727717942e-13
"hsa-miR-532-3p"	129.8300306209	1.20985564413131e+39	125.129640442372	37.9869873148831	1.85533588982414e-14	1.84810730843521e-13
"hsa-miR-615-5p"	91.1010630627968	2.65553860135031e+27	94.6863850495523	37.8016237248464	1.97323028890669e-14	1.90909475280918e-13
"hsa-miR-135b-3p"	86.4017567624789	1.02216372291011e+26	84.8997762952416	37.7715039479045	1.99313824021068e-14	1.90909475280918e-13
"hsa-miR-194-3p"	116.592658726615	1.25281674916516e+35	120.407452380945	37.7700859228911	1.99408081898831e-14	1.90909475280918e-13
"hsa-miR-345-5p"	144.92577153025	4.23647234111363e+43	139.620109456528	37.7371291398091	2.01612353295363e-14	1.90909475280918e-13
"hsa-miR-517a-3p"	86.1864949502348	8.80481430714895e+25	90.5276881353729	37.5837390258647	2.12223050577368e-14	1.98506194869318e-13
"hsa-miR-186-3p"	124.841814031195	3.81180553631572e+37	114.937263344633	37.4669496024839	2.20705330541857e-14	2.01271358313098e-13
"hsa-let-7f-2-3p"	92.763941672588	8.40870195913767e+27	92.7365741407393	37.464238946133	2.2090649160351e-14	2.01271358313098e-13
"hsa-let-7d-3p"	221.034929109909	3.45258000879009e+66	225.714355021092	37.435496557104	2.23051700868492e-14	2.01271358313098e-13
"hsa-miR-593-5p&hsa-miR-593-3p"	103.24279819095	1.19999404749545e+31	103.659280965982	37.113801690874	2.48655397904374e-14	2.21765918828668e-13
"hsa-miR-96-3p"	80.0937222445548	1.2900687641654e+24	77.5445907810134	36.9945993146949	2.58932729474413e-14	2.28277475295258e-13
"hsa-miR-616-5p"	98.0318863349877	3.23995007664434e+29	102.480557780052	36.9393328725755	2.63852229528639e-14	2.29570002648937e-13
"hsa-miR-873-5p"	259.159433109341	1.03457749058778e+78	253.049920961545	36.9113107968986	2.66385009592639e-14	2.29570002648937e-13
"ebv-miR-BART17-3p"	96.9249662858344	1.50425748358445e+29	102.096068309859	36.8032494624176	2.76400377853218e-14	2.35508696260747e-13
"hsa-miR-20a-3p"	98.9987651866584	6.33283036454979e+29	94.5582508651282	36.7715260842649	2.79417097258514e-14	2.35508696260747e-13
"hsa-miR-10b-3p"	81.120174543245	2.62788158157542e+24	81.5388947682837	36.7086878064567	2.85497987320154e-14	2.38018430733215e-13
"hsa-miR-1180-3p"	92.9356230049852	9.47131302555189e+27	91.0556734821776	36.4436364542382	3.12763043886346e-14	2.57945435119169e-13
"hsa-miR-892a"	80.4946325592698	1.70333037168563e+24	85.5801176772713	36.2693869893213	3.32209314190507e-14	2.71068663812893e-13
"hsa-let-7i-3p"	111.554808112547	3.81367256360388e+33	99.805884465526	36.1975537170635	3.40601927379179e-14	2.74991240315611e-13
"hsa-miR-29a-3p"	17833.9105040447	Inf	17475.5564822652	36.0133713289157	3.63183295169485e-14	2.9016832020312e-13
"hsa-miR-217-5p"	102.60177290493	7.6950465732937e+30	91.9974357127915	35.9701507203918	3.68712815064231e-14	2.91549205313676e-13
"hsa-miR-888-3p"	1871.55898558554	Inf	1687.575807357	35.8991592479202	3.77993201384562e-14	2.95837536185673e-13
"hsa-miR-210-3p"	112.557493144862	7.64155376935133e+33	102.949116617489	35.8331412588289	3.86849685143051e-14	2.98905349802961e-13
"hsa-miR-449b-5p"	95.9467698487562	7.63582051642163e+28	94.101486125338	35.811622727737	3.89784588844682e-14	2.98905349802961e-13
"hsa-miR-519e-3p"	245.992096900687	1.1246046202092e+74	236.48674739106	35.7226292366111	4.02179788773072e-14	2.98905349802961e-13
"hsa-miR-499a-3p"	83.102041343702	1.03802340360164e+25	80.9018676475499	35.7125198299223	4.03614502785188e-14	2.98905349802961e-13
"hsa-miR-323b-5p"	97.6275149838577	2.44799435652768e+29	100.223820853343	35.7122687358707	4.03650207878207e-14	2.98905349802961e-13
"hsa-miR-326"	215.964983163575	1.02786941925676e+65	229.236112593568	35.7007249845532	4.05295389563337e-14	2.98905349802961e-13
"hsa-miR-148b-5p"	93.740053427618	1.65412329120327e+28	88.7726036891644	35.6723613024618	4.09368479042583e-14	2.99033927072058e-13
