""	"logFC"	"Fold Change"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"
"hsa-miR-381-3p"	667.326373362719	7.67812679764453e+200	640.662990326105	74.5136894323714	3.71205762378813e-18	2.8471481974455e-15
"hsa-miR-106b-3p"	136.724727788495	1.43960787383135e+41	139.27930079919	55.9845871951914	1.38604031790216e-16	2.52832321746855e-14
"hsa-miR-573"	94.9837747803002	3.91710587554725e+28	100.225434868639	55.1864934587418	1.6620898983162e-16	2.52832321746855e-14
"ebv-miR-BART4-5p"	101.878295864705	4.66039751921001e+30	97.0916984953097	55.0131565262087	1.7295600027824e-16	2.52832321746855e-14
"hsa-miR-92a-1-5p"	86.2784057539562	9.38400239629274e+25	83.5861365796625	54.3944656046699	1.99554125431195e-16	2.52832321746855e-14
"hsa-miR-767-5p"	92.2533833596226	5.90249452260879e+27	88.6460726392105	52.5282366432874	3.10307638581673e-16	2.52832321746855e-14
"ebv-miR-BART3-3p"	86.9404225620888	1.48482416488178e+26	80.6277219163726	52.1437412179588	3.40512386309777e-16	2.52832321746855e-14
"ebv-miR-BHRF1-1"	387.563300753274	4.6577775712164e+116	374.904502509273	52.0829956600088	3.4556772392473e-16	2.52832321746855e-14
"hsa-miR-16-2-3p"	100.700616818396	2.06018511104967e+30	97.1155161771164	51.5887345699335	3.89839751286405e-16	2.52832321746855e-14
"hsa-miR-19a-5p"	77.476761188142	2.10295066607714e+23	76.5499262269936	51.534004743077	3.95106105746675e-16	2.52832321746855e-14
"hsa-miR-569"	82.9364932395733	9.2549100108944e+24	79.6622773392821	50.8225457174623	4.71013034474616e-16	2.52832321746855e-14
"hsa-miR-208b-3p"	103.607325801846	1.54494433734169e+31	95.7431048088311	50.7111226015705	4.84262945162637e-16	2.52832321746855e-14
"hsa-miR-188-5p"	92.4453588788205	6.74257805052419e+27	91.0592961749448	50.6744065523924	4.8871665009464e-16	2.52832321746855e-14
"hsa-miR-330-3p"	196.977343128494	1.97737367420881e+59	188.906025564912	50.3594318061577	5.28789428776977e-16	2.52832321746855e-14
"hsa-miR-30c-1-3p"	116.391927458717	1.09008764706034e+35	115.411323071158	50.305342030588	5.36020711798538e-16	2.52832321746855e-14
"hsa-miR-651-5p"	97.0344653098877	1.62287351046896e+29	101.67153154316	50.2643579629795	5.415708861546e-16	2.52832321746855e-14
"hsa-miR-548d-3p"	96.1694806642965	8.91042352958837e+28	101.368969522598	50.1114723005019	5.62828323454866e-16	2.52832321746855e-14
"hsa-miR-378a-5p"	91.5667385166075	3.66720255574143e+27	87.9331954533017	49.8941440717943	5.94609229602727e-16	2.52832321746855e-14
"hsa-miR-502-5p"	113.969801051145	2.03389587845203e+34	126.817594171214	49.68948626006	6.26312139920502e-16	2.52832321746855e-14
"hsa-miR-613"	78.3388851229985	3.82255945383742e+23	81.5808636612288	48.0001271110244	9.69616831301441e-16	3.71848054804103e-14
"hiv1-miR-N367"	90.5812450275493	1.85213141404842e+27	95.9956626781792	47.0311944023979	1.25450449461976e-15	4.44593695442251e-14
"hsa-miR-548a-3p"	95.883002879837	7.30566815129084e+28	97.4627031175858	46.9702005592433	1.27523615381089e-15	4.44593695442251e-14
"hsa-miR-520g-3p"	108.084365741637	3.44061557162348e+32	101.395597298352	46.6386904844513	1.39457132389969e-15	4.65059219752635e-14
"hsa-miR-10a-5p"	102.145002684966	5.60673094003384e+30	108.687656829405	45.7499406524743	1.77810683040267e-15	5.29023836535565e-14
"hsa-miR-593-5p"	97.2983902294958	1.94865065989344e+29	90.6980964914836	45.6810815361572	1.81224784374917e-15	5.29023836535565e-14
"hsa-miR-125a-3p"	143.189440815942	1.27150112260913e+43	157.434770483748	45.5937673562874	1.85655902664302e-15	5.29023836535565e-14
"hsa-miR-512-3p"	102.164274119449	5.6821277702747e+30	99.5283051711258	45.3234281688112	2.00132479947124e-15	5.29023836535565e-14
"hsa-miR-1296-5p"	143.357719973186	1.42880783131988e+43	132.343820918717	45.2185595650021	2.06071917126466e-15	5.29023836535565e-14
"hsa-miR-362-3p"	126.449753946934	1.16190034954081e+38	123.252495037054	45.1012016374004	2.12944913325146e-15	5.29023836535565e-14
"hsa-miR-639"	85.5482036112378	5.65685910786453e+25	81.3894502042145	44.9951639662581	2.19367802461851e-15	5.29023836535565e-14
"ebv-miR-BART6-5p"	79.565481836867	8.94533588474244e+23	77.7077775027709	44.9884531981846	2.19781254913062e-15	5.29023836535565e-14
"hsa-miR-760"	104.257124881879	2.42393991981588e+31	108.198530431082	44.9733638452568	2.20713986559818e-15	5.29023836535565e-14
"hsa-miR-541-5p"	96.7273600622581	1.31170683068844e+29	90.5126925674153	44.4306258142846	2.57271480080529e-15	5.97961288550805e-14
"hsa-miR-26b-3p"	95.973297438507	7.77752313746855e+28	101.01606910988	44.2333446564747	2.72135770388978e-15	5.98604546002502e-14
"hsa-miR-26a-5p"	14459.5429356154	Inf	14478.1081203838	44.2202169830083	2.73157224381846e-15	5.98604546002502e-14
"hsa-miR-346"	83.0947031114142	1.03275692873946e+25	80.829462458217	43.681573191515	3.18850924680402e-15	6.79329608971857e-14
