""	"logFC"	"Fold Change"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"
"hsa-miR-125b-5p"	-13146.2979864787	-Inf	-13146.2979864787	-4059.71495688664	7.65129445087903e-23	5.86854284382422e-20
"hsa-miR-23b-3p"	-1559.73009286577	-Inf	-1462.02066205724	-15.5950179922067	1.50014646750774e-06	0.000575306170289217
"hsa-miR-24-3p"	-1261.83343004035	-Inf	-957.427376877891	-9.66260238008078	3.35827042450567e-05	0.00708997075606411
"hsa-miR-125a-5p"	-2225.5105929198	-Inf	-2034.36090037181	-9.51724958302422	3.6975075650921e-05	0.00708997075606411
"ebv-miR-BHRF1-1"	-123.821953963179	-1.87984596546354e+37	-111.734468387957	-8.60798923299577	6.96197110866772e-05	0.0106796636806963
"hsa-miR-491-3p"	-1315.71120387053	-Inf	-842.956174390206	-7.92193556872041	0.000116686463701364	0.0108268566128851
"hsa-miR-29a-3p"	-5638.63491443234	-Inf	-5729.78982065263	-7.86565995198089	0.000121935716321046	0.0108268566128851
"hsa-miR-520d-5p"	-2010.20946880091	-Inf	-1801.43973808564	-7.80698181222498	0.000127696213638395	0.0108268566128851
"hsa-miR-494-3p"	-1042.07372950965	-Inf	-931.303559964361	-7.64543267003001	0.000145217313853984	0.0108268566128851
"hsa-miR-99b-5p"	-681.29089227935	-1.22742325926492e+205	-582.331893524655	-7.56415325428068	0.000155052691976095	0.0108268566128851
"hsa-miR-888-3p"	-744.873586085473	-1.69547890043339e+224	-843.954910111089	-7.5623893922177	0.000155274345165235	0.0108268566128851
"hsa-let-7i"	-688.928763522443	-2.44468380746272e+207	-576.651679197682	-7.32743626385727	0.000188281415889162	0.0120343204989156
"hsa-let-7c"	-3685.6351031181	-Inf	-3153.75258650968	-7.16491017634685	0.00021576649293798	0.0127302230833408
"hsa-miR-381-3p"	-261.033105169863	-3.79135557922136e+78	-205.339262248313	-6.77432838172526	0.000302460395704567	0.0165705088218145
"hsa-miR-634"	-625.72927559051	-2.3082408243275e+188	-647.224579556659	-6.5218111562505	0.000379348326662937	0.0183345038868976
"hsa-miR-30a-5p"	-2016.20701406457	-Inf	-1881.87036176586	-6.4351592202199	0.000410642266600222	0.0183345038868976
"hsa-miR-26a-5p"	-2850.79858851675	-Inf	-2739.19076554868	-6.40634848817052	0.000421684133543026	0.0183345038868976
"hsa-miR-409-5p"	-87.5052251090869	-2.1963297039353e+26	-78.0043739897171	-6.38451458898749	0.000430275189001507	0.0183345038868976
"hsa-miR-15a-5p"	-435.790302812417	-1.53445079320139e+131	-335.945029550636	-6.28129522133173	0.000473653710884016	0.0191206524341074
"hsa-miR-600"	-78.6029570128584	-4.59037122759781e+23	-67.9100839934624	-6.14033330231604	0.000541077363969119	0.0201522620319861
"hsa-miR-30c-5p"	-1778.05072247187	-Inf	-1760.97632940264	-6.11982946685746	0.000551756848333387	0.0201522620319861
"hsa-miR-27a-3p"	-459.138919669498	-1.63903035671099e+138	-358.327023720297	-5.92512680808534	0.000665890704386054	0.0216742967479921
"hsa-miR-885-5p"	-440.85822432302	-5.14694297300025e+132	-440.968470393587	-5.87798122941843	0.000697373566526455	0.0216742967479921
"hsa-miR-103a-3p"	-686.978216729548	-6.32484087004862e+206	-702.098740880919	-5.86986902627734	0.000702957668771215	0.0216742967479921
"hsa-miR-23a-3p"	-789.499981404297	-4.60443110222845e+237	-742.807179245605	-5.86481306433185	0.000706463388135335	0.0216742967479921
"hsa-miR-197-3p"	-165.023267754713	-4.75284418318909e+49	-175.591001588022	-5.72657093428818	0.000810366073596268	0.0239057991710899
"hsa-miR-28-5p"	-354.684987171095	-5.89956717007255e+106	-261.933398375302	-5.68071450804119	0.000848539309519559	0.0241048018667223
"hsa-miR-642a-5p"	-1509.66653429337	-Inf	-947.082934692501	-5.63017349574129	0.000892967541634591	0.0244609323012047
"hsa-miR-500a-3p"	-26.5597928521875	-98922327.7270117	-24.5678243965321	-5.52289050078562	0.000996190288518525	0.0261121522425537
"hsa-miR-151a-5p"	-401.016079892737	-5.22238386917775e+120	-288.337836751232	-5.48411604114592	0.00103673515300542	0.0261121522425537
"hsa-miR-423-3p"	-168.74701374128	-6.27932287978071e+50	-121.277382434484	-5.46685134839702	0.00105538033835615	0.0261121522425537
