""	"logFC"	"Fold Change"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"
"hsa-miR-125b-5p"	-13146.2979864787	-Inf	-13146.2979864787	-4059.71495688664	7.65129445087903e-23	5.86854284382422e-20
"hsa-miR-23b-3p"	-1364.31123124871	-Inf	-1462.02066205724	-13.6411154055514	3.61706848938408e-06	0.0013871457656788
"hsa-miR-888-3p"	-943.036234136705	-7.62418583009023e+283	-843.954910111089	-9.57425172100814	3.56002259325918e-05	0.00910179109676596
"hsa-miR-551b-3p"	-1890.19257665998	-Inf	-1334.41062730293	-8.41513892663284	8.02067566552361e-05	0.015363105335076
"hsa-miR-29a-3p"	-5820.94472687292	-Inf	-5729.78982065263	-8.11997451788702	0.000100150621480287	0.015363105335076
"hsa-miR-125a-5p"	-1843.21120782381	-Inf	-2034.36090037181	-7.88237142294245	0.000120349462958929	0.0153846730149164
"hsa-miR-634"	-668.719883522808	-2.01717527973959e+201	-647.224579556659	-6.96989092071773	0.000254927688765932	0.0253587606276646
"ebv-miR-BHRF1-1"	-99.6469828127348	-9.92500659567931e+29	-111.734468387957	-6.92736730198596	0.000264498155177727	0.0253587606276646
"hsa-miR-138-1-3p"	-407.579534488553	-4.9393010799647e+122	-350.671441832494	-6.63156862650463	0.000343501630761983	0.0292739723104934
"hsa-miR-197-3p"	-186.158735421331	-1.09487191763821e+56	-175.591001588022	-6.46000541579498	0.000401381135692055	0.0307859331075806
"hsa-miR-520d-5p"	-1592.67000737036	-Inf	-1801.43973808564	-6.1853980758699	0.00051841306849518	0.0333339267667432
"hsa-miR-103a-3p"	-717.21926503229	-8.0262418658988e+215	-702.098740880919	-6.12826294391783	0.000547335784910454	0.0333339267667432
"hsa-miR-494-3p"	-820.533390419073	-1.01195909971167e+247	-931.303559964361	-6.02004696242789	0.000607233555985079	0.0333339267667432
"hsa-miR-30c-5p"	-1743.90193633341	-Inf	-1760.97632940264	-6.00229359174078	0.000617747702060991	0.0333339267667432
"hsa-miR-26a-5p"	-2627.58294258061	-Inf	-2739.19076554868	-5.90473563427087	0.00067930720770017	0.0333339267667432
