""	"logFC"	"Fold Change"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"
"hsa-miR-125b-5p"	-13146.2979864787	-Inf	-13146.2979864787	-3095.16377014654	3.37125883602092e-22	2.58575552722804e-19
"hsa-miR-885-5p"	-456.51346012098	-2.65610305140987e+137	-435.794856526503	-15.3890334743703	1.52341872585834e-06	0.000584231081366673
"hsa-miR-23b-3p"	-1637.56330794926	-Inf	-1452.63235756348	-11.4960770546882	1.03978865398073e-05	0.00265839299201073
"hsa-miR-29a-3p"	-5877.84389652159	-Inf	-5762.77079226148	-9.11517822411654	4.63500697130155e-05	0.00724135297970153
"hsa-miR-22-3p"	-1104.17910126972	-Inf	-836.862209761597	-9.08897048939335	4.72056908715876e-05	0.00724135297970153
"hsa-miR-125a-5p"	-2401.7858515518	-Inf	-2021.31869448862	-8.7910759375365	5.83053735586076e-05	0.007453370253242
"hsa-miR-30c-5p"	-1888.25670527681	-Inf	-1789.44510219611	-8.32850627698755	8.19471584840084e-05	0.00897906722246206
"hsa-miR-888-3p"	-743.546561861261	-6.75800164361006e+223	-857.881327102625	-8.10283217642342	9.73166851108429e-05	0.00933023718500206
"hsa-miR-769-5p"	-150.640910684674	-2.22552609159985e+45	-137.130028508877	-7.51830361797639	0.000154844865571408	0.0131962235436966
"hsa-miR-103a-3p"	-743.466293357828	-6.39226934023474e+223	-698.4149849848	-7.17849136583436	0.00020563712099024	0.0155784485958371
"hsa-miR-491-3p"	-1259.64684472798	-Inf	-844.733948375753	-7.07903315819295	0.000223893790625315	0.0155784485958371
"hsa-miR-22-5p"	-51.8115777979218	-3952201146883311	-48.9936924866626	-6.98085841985558	0.000243730616884022	0.0155784485958371
"hsa-miR-520d-5p"	-1826.88228443268	-Inf	-1700.47790890931	-6.60279461491447	0.000341016202653064	0.0192922134910895
"hsa-miR-381-3p"	-245.355568049114	-7.23411795734801e+73	-185.519860025651	-6.49865984167939	0.0003750394097574	0.0192922134910895
"hsa-miR-23a-3p"	-849.599677153064	-5.68836072905919e+255	-728.249978806239	-6.49214376072477	0.0003772923107775	0.0192922134910895
"hsa-miR-29c-3p"	-1906.98503871652	-Inf	-1694.93191623786	-6.30724395663026	0.000448040356105452	0.0200211941198307
"hsa-miR-30a-5p"	-2015.54555328477	-Inf	-1886.17172950458	-6.26104540346738	0.000467973190925715	0.0200211941198307
"hsa-miR-637"	-412.461100750733	-1.45600669031454e+124	-234.215816524207	-6.25679075066228	0.000469858532147265	0.0200211941198307
"hsa-miR-191-5p"	-717.626476745058	-1.06437626858219e+216	-631.525398023231	-5.91616118791022	0.00065264427071037	0.0251462260237465
"ebv-miR-BHRF1-1"	-122.880981590032	-9.79177341587183e+36	-99.4410164515639	-5.91141275981622	0.000655703416525333	0.0251462260237465
"hsa-miR-600"	-80.8880553260252	-2.23733462619313e+24	-61.5663044624806	-5.82176897216904	0.00071658588333512	0.0255065475229493
"hsa-miR-16-5p"	-1088.28211861452	-Inf	-1034.90839909499	-5.80096113370396	0.000731608925038962	0.0255065475229493
"hsa-miR-409-5p"	-69.5334420914205	-8.54381372743069e+20	-70.6133608688221	-5.72622265209485	0.000788556951197147	0.0262966600681831
"hsa-miR-24-3p"	-1280.63227729762	-Inf	-975.718047607615	-5.32000202722364	0.00119975295830885	0.0383421049592869
"hsa-miR-361-5p"	-295.479512400176	-8.87557169773516e+88	-225.069592062617	-5.26092530852324	0.00127752443472115	0.039194449657245
"hsa-miR-30b-5p"	-1352.03763131274	-Inf	-1325.11464448052	-5.19605774921626	0.00136947016480742	0.0399756578207477
