""	"logFC"	"Fold Change"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"
"hsa-miR-125b-5p"	-13146.2979864787	-Inf	-13146.2979864787	-3095.16377014654	3.37125883602092e-22	2.58575552722804e-19
"hsa-miR-885-5p"	-415.076252932026	-8.92077571128213e+124	-435.794856526503	-13.9921884211133	2.86205437441918e-06	0.00109759785258976
"hsa-miR-888-3p"	-972.216092343988	-4.63666866838256e+292	-857.881327102625	-10.5947686931157	1.76658423301924e-05	0.00451656702241919
"hsa-miR-23b-3p"	-1267.70140717769	-Inf	-1452.63235756348	-8.89956008937577	5.39514952756747e-05	0.00915788726545774
"hsa-miR-29a-3p"	-5647.69768800137	-Inf	-5762.77079226148	-8.75827461367734	5.96993954723451e-05	0.00915788726545774
"hsa-miR-551b-3p"	-2154.18996562527	-Inf	-1373.57494848114	-7.70763602150812	0.000132798271797709	0.0169760457448072
"hsa-miR-30c-5p"	-1690.63349911542	-Inf	-1789.44510219611	-7.45685248733387	0.000162869716311571	0.0178458674872822
"hsa-miR-103a-3p"	-653.363676611772	-4.8091102937614e+196	-698.4149849848	-6.30851129796955	0.000447507177912364	0.0389667174185011
"hsa-miR-22-5p"	-46.1758071754034	-79488267947431.6	-48.9936924866626	-6.22152009288882	0.000485821126806894	0.0389667174185011
"hsa-miR-769-5p"	-123.61914633308	-1.63331926512408e+37	-137.130028508877	-6.169680406889	0.000510401758403793	0.0389667174185011
"hsa-miR-125a-5p"	-1640.85153742544	-Inf	-2021.31869448862	-6.00588535335514	0.000597749350832748	0.0389667174185011
"hsa-miR-519d-3p"	-2322.75450180841	-Inf	-1870.14007981781	-5.91670482277016	0.000652295060717231	0.0389667174185011
"hsa-miR-409-5p"	-71.6932796462236	-3.81792735826657e+21	-70.6133608688221	-5.90408973819276	0.000660452837601713	0.0389667174185011
"hsa-miR-520d-5p"	-1574.07353338594	-Inf	-1700.47790890931	-5.68908261812149	0.000818692903930578	0.0448526755224824
"hsa-miR-197-3p"	-186.19906288665	-1.12590848852048e+56	-178.506137980463	-5.45922864243717	0.00103655704188218	0.0497910067855391
"hsa-miR-30a-5p"	-1756.79790572439	-Inf	-1886.17172950458	-5.457277526936	0.00103866506984175	0.0497910067855391
"hsa-miR-16-5p"	-981.534679575461	-2.96060410280062e+295	-1034.90839909499	-5.23195633761637	0.00131770600101424	0.058379544546742
"hsa-miR-138-1-3p"	-511.727332514048	-1.1098816927005e+154	-392.568682327994	-5.19566120234958	0.00137005450044505	0.058379544546742
"hsa-miR-30b-5p"	-1298.19165764831	-Inf	-1325.11464448052	-4.98912061799787	0.00171590836093416	0.0692685112019212
"hsa-miR-29c-3p"	-1482.87879375921	-Inf	-1694.93191623786	-4.90453680572547	0.00188479434251215	0.0722818630353409
"hsa-miR-154-5p"	-185.689917679072	-7.91106793161606e+55	-181.815745436425	-4.80473784004326	0.0021082779609935	0.075851902652996
"hsa-miR-7-2-3p"	-50.0573568235028	-1171563701596504	-28.6322208826952	-4.77693561542914	0.00217567387009897	0.075851902652996
"hsa-miR-22-3p"	-569.545318253469	-2.81984141210725e+171	-836.862209761597	-4.68817113457884	0.00240738784608917	0.0802811512152345
"hsa-miR-23a-3p"	-606.900280459415	-4.95665618215514e+182	-728.249978806239	-4.6375769378463	0.00255163315114518	0.0815459427886814
"hsa-miR-128-3p"	-1624.36427546835	-Inf	-1501.37777965247	-4.51305612433856	0.00294920512183579	0.0861995644600284
"hsa-miR-191-5p"	-545.424319301404	-1.54554080016526e+164	-631.525398023231	-4.49651496058118	0.00300699599779944	0.0861995644600284
"hsa-miR-9-5p"	-2198.09259259669	-Inf	-1572.7799344061	-4.48879253944686	0.00303440448555511	0.0861995644600284
"hsa-miR-222-3p"	-906.19312870952	-6.18462833951422e+272	-819.582903697643	-4.27037912645747	0.00393653051059393	0.107832817915198
"hsa-miR-29b-3p"	-1922.05179870726	-Inf	-1996.05871978525	-4.12057085329281	0.00472538018646979	0.124978158724908
"ebv-miR-BART12"	34.7652202229117	29199411124.7552	31.8145275280004	4.05642865701129	0.00511503727409944	0.129146570182644
"hsa-miR-494-3p"	-840.377979679527	-9.52751363635554e+252	-839.284062134225	-4.03768557949504	0.00523546614553139	0.129146570182644
"hsa-miR-500a-3p"	-19.3905521698431	-687286.535180959	-21.1573190536989	-4.01459568475677	0.00538812287593821	0.129146570182644
"hsa-miR-933"	-2708.15795585375	-Inf	-2973.0851694765	-3.9565439007467	0.00579394481896871	0.134665323519667
"ebv-miR-BART8-5p"	40.1350378300104	1207397476813.99	38.2492698396064	3.90180785815699	0.00620744337883275	0.137374155373046
"hsa-miR-619-3p"	27.1830862861988	152378729.032259	16.7605461106515	3.89403946687283	0.00626870330906991	0.137374155373046
"hsa-miR-424-5p"	-248.050183779167	-4.68323280776081e+74	-202.678928308801	-3.85326855682986	0.00660125430168959	0.139676721609578
"hsa-miR-302c-5p"	-45.5108482349497	-50133779530547.1	-40.6195395596585	-3.83715209129557	0.00673799048181796	0.139676721609578
"hsa-let-7c"	-2990.08350986687	-Inf	-3154.47464032032	-3.79157799672645	0.00714169145429671	0.144139841657431
"hsa-miR-181a-2-3p"	-47.222344104806	-164188237581743	-44.7012546509714	-3.77136391670412	0.0073291444910558	0.144139841657431
"hsa-miR-634"	-602.336575098014	-2.09592911225932e+181	-577.384203095119	-3.71980846999809	0.0078319998270126	0.150178596682967
"hsa-miR-19b-1-5p"	29.0779919861081	566692939.174879	25.3354381330127	3.68812685354348	0.00815959599289656	0.151709618805581
"hsa-miR-187-3p"	51.5655121299158	3332467271676219	26.0732210711822	3.65945496565876	0.00846896503628788	0.151709618805581
"ebv-miR-BHRF1-1"	-76.0010513130962	-7.56129439189914e+22	-99.4410164515639	-3.65616858425332	0.00850523286654497	0.151709618805581
"hsa-miR-378a-5p&hsa-miR-378a-3p"	-67.06132977286	-1.539826575508e+20	-65.40940871154	-3.60450507707186	0.00909815505007905	0.157417390174034
"hsa-miR-502-5p"	53.7336584416059	14977625513228230	46.2588536403033	3.58142783008161	0.00937739497048957	0.157417390174034
"hsa-miR-520a-3p"	37.5140421482919	196269106434.004	27.8364681697943	3.57628064056665	0.00944093865450531	0.157417390174034
"hsa-miR-20b-3p"	-23.9280986461618	-15961563.5622556	-15.6692848751346	-3.55160348395511	0.0097521494693158	0.158409023167909
"hsa-miR-382-5p"	-91.8631904308475	-4.50376599043022e+27	-92.9318761557658	-3.5391457520069	0.00991347211481046	0.158409023167909
"hsa-miR-188-3p"	37.5414391077644	200031896186.209	35.9435503450298	3.50680704733661	0.0103459141331886	0.161945227350115
"hsa-miR-577"	54.930407165084	34332089082081684	36.6605814645142	3.45765512703225	0.0110428249654275	0.164920442081876
"hsa-miR-218-2-3p"	-91.6692107451172	-3.93715137793248e+27	-76.8782072164072	-3.44755781471635	0.0111921919974621	0.164920442081876
"hsa-miR-519e-3p"	-66.5939522235518	-1.11372289879929e+20	-66.5399110817336	-3.44406850978254	0.0112443154958431	0.164920442081876
"hsa-miR-556-3p"	28.3038731075971	331371229.266867	27.8483625602152	3.41851390263605	0.0116341500815117	0.164920442081876
"hsa-miR-107"	-584.45655271302	-8.68867452484582e+175	-519.956924255458	-3.4108401907179	0.0117540465939168	0.164920442081876
"hsa-miR-7-5p"	-1154.88252074481	-Inf	-917.966979193332	-3.40038236489284	0.0119195978049584	0.164920442081876
"hsa-miR-376a-3p"	-106.040911651548	-8.34632274849551e+31	-94.5832175188504	-3.38859944698502	0.0121091493436677	0.164920442081876
"hsa-miR-590-3p"	20.8985012868125	1954680.37088653	19.3368874114555	3.37959805700579	0.0122561475862672	0.164920442081876
"hsa-miR-873-5p"	-66.0716119795881	-7.7542012388126e+19	-68.3203359185098	-3.33872396649175	0.012948306416633	0.167913808472166
"hsa-miR-381-3p"	-125.684152002189	-6.83438959634248e+37	-185.519860025651	-3.32895869389301	0.0131198365311058	0.167913808472166
"hsa-miR-938"	-52.3366226948734	-5687131927110704	-47.5594129014635	-3.32808119275566	0.013135369632764	0.167913808472166
"hsa-let-7a-5p"	-2192.83764568767	-Inf	-2144.93811302901	-3.30672401573388	0.0135196009967339	0.16921086457018
"hsa-miR-221-3p"	-303.40251613909	-2.15406159539591e+91	-283.924324967725	-3.28247334511681	0.0139706203393978	0.16921086457018
