""	"logFC"	"Fold Change"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"
"hsa-miR-29a-3p"	20740.3192115106	Inf	20740.3192115106	13893.9027149394	6.25005494767965e-27	4.79379214487029e-24
"hsa-let-7a-5p"	12220.6978173774	Inf	12220.6978173774	8186.62359300044	2.3967092024816e-25	9.19137979151693e-23
"hsa-miR-130a-3p"	1557.6782131189	Inf	1533.52792149177	215.860935805236	1.8402748191325e-14	4.70496928758209e-12
"hsa-miR-933"	8995.27731408914	Inf	8955.29110351993	170.444036919138	9.37681562699109e-14	1.79800439647554e-11
"hsa-miR-628-5p"	234.52332157624	3.96784297791194e+70	233.879036436867	132.614276040518	5.28760808482558e-13	8.11119080212244e-11
"hsa-miR-510-5p"	483.168283091151	2.80637797907538e+145	489.184667983344	127.699916382167	6.85931868478818e-13	8.59017272457234e-11
"hsa-miR-132-5p"	527.320507351747	5.48643251534163e+158	522.21578987491	124.87654743904	8.00195525946288e-13	8.59017272457234e-11
"hsa-miR-340-3p&hsa-miR-340-5p"	1520.27372062953	Inf	1512.94880964298	122.844595584982	8.95976294609892e-13	8.59017272457234e-11
"hsa-miR-24-1-5p"	464.374164860501	6.1738039519593e+139	462.961405830452	115.026062463755	1.40963996594179e-12	1.20132650430817e-10
"hsa-miR-518c-5p"	3274.46109853102	Inf	3219.01985332204	106.189682841103	2.44519223935896e-12	1.87546244758832e-10
"hsa-miR-186-5p"	269.500541053285	1.34198204335106e+81	271.536737838966	101.777019059131	3.27581287276763e-12	2.2841349758298e-10
"hsa-miR-487b-3p"	1255.15999584726	Inf	1244.02032958876	97.2648929602819	4.47720407816756e-12	2.43553231092586e-10
"hsa-miR-30e-3p"	603.900657625464	6.1974402225367e+181	612.400910315322	96.9112678331909	4.59097917543215e-12	2.43553231092586e-10
"hsa-miR-342-3p"	2264.1960011523	Inf	2275.54346698222	96.8426527900311	4.61343686332112e-12	2.43553231092586e-10
"hsa-miR-885-5p"	1687.41239205128	Inf	1682.4227021244	96.3949357106784	4.76310099920312e-12	2.43553231092586e-10
"hsa-miR-128-3p"	5140.44271982838	Inf	5223.28444634165	94.8433402202362	5.3265170314177e-12	2.55339910193586e-10
"hsa-miR-433-3p"	275.319457968042	7.57556865336515e+82	275.791765217506	93.5595111927659	5.85088086285381e-12	2.63977977753463e-10
"hsa-miR-382-5p"	391.085717769234	5.35219495484711e+117	393.206734258754	89.7301775423195	7.80289571731279e-12	3.32490056398828e-10
"hsa-miR-411-5p"	518.868724505924	1.56693105597867e+156	528.586923208202	86.979670974793	9.66935787632606e-12	3.36802727903463e-10
"hsa-miR-28-5p"	936.04025264628	5.97300936155563e+281	964.89234122354	86.1781730655584	1.03060679404992e-11	3.36802727903463e-10
"hsa-miR-125b-5p"	44432.6232838957	Inf	44432.6232838957	85.8492104960344	1.05811933103372e-11	3.36802727903463e-10
"hsa-miR-124-3p"	44432.6232838957	Inf	44432.6232838957	85.8492104960344	1.05811933103372e-11	3.36802727903463e-10
"hsa-miR-938"	231.181083168419	3.91237489796755e+69	231.267179532627	85.0989950170785	1.12406772793552e-11	3.36802727903463e-10
"hsa-miR-374a-5p"	1468.75717949971	Inf	1500.36182132481	84.6937845378338	1.1616392711456e-11	3.36802727903463e-10
"hsa-miR-133a-3p"	233.982917211538	2.72820219267895e+70	232.834409242466	84.5732019681969	1.17309597084959e-11	3.36802727903463e-10
"hsa-miR-9-3p"	14823.159332863	Inf	15011.5958610643	84.3191703874282	1.19765777662102e-11	3.36802727903463e-10
"hsa-miR-146b-5p"	1110.42250957208	Inf	1105.92250879288	84.0673892093287	1.22258470862512e-11	3.36802727903463e-10
"hsa-miR-129-2-3p"	6027.03231297504	Inf	6082.28273321226	83.9983064007421	1.22952755949113e-11	3.36802727903463e-10
"hsa-miR-584-5p"	282.397396313858	1.0234979753213e+85	284.096871667753	83.5330961416565	1.27747453536301e-11	3.37798786557494e-10
"hsa-miR-185-5p"	3021.44556153815	Inf	3015.56411045328	83.1255218612306	1.32124688353648e-11	3.37798786557494e-10
"hsa-miR-376a-5p"	575.637249376262	1.92344017865343e+173	568.909844786459	81.6243378719586	1.49796072432575e-11	3.60558650728959e-10
"hsa-miR-200b-5p"	406.001493064539	1.65435114663329e+122	420.208451409206	81.5744156161929	1.50428641764364e-11	3.60558650728959e-10
"hsa-miR-30c-5p"	7768.13857850359	Inf	7744.32285551018	79.3461483678375	1.82044046004954e-11	4.16142583180949e-10
"hsa-miR-130b-3p"	278.934834389277	9.28436031870626e+83	278.365566820291	79.193787679961	1.84469984721672e-11	4.16142583180949e-10
"hsa-miR-658"	4580.20482767108	Inf	4585.35966992144	77.8404770918731	2.07721732479333e-11	4.55207339461852e-10
"hsa-let-7b-3p"	265.846523305197	1.06605045006344e+80	268.815402605552	77.4568449414878	2.14911536432764e-11	4.57880967899806e-10
"ebv-miR-BART19-3p"	299.376516570123	1.32224363471762e+90	305.401695538267	76.5989701045394	2.32044745927337e-11	4.81022486827749e-10
"hsa-miR-338-5p"	582.588133375653	2.3795961848514e+175	576.743675422612	75.936598577343	2.46347348381169e-11	4.93048570945856e-10
