""	"logFC"	"Fold Change"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"
"hsa-miR-29a-3p"	20740.3192115106	Inf	20740.3192115106	13893.9027149394	6.25005494767965e-27	4.79379214487029e-24
"hsa-let-7a-5p"	12220.6978173774	Inf	12220.6978173774	8186.62359300044	2.3967092024816e-25	9.19137979151693e-23
"hsa-miR-130a-3p"	1509.37762986464	Inf	1533.52792149177	209.167506434912	2.28655379946176e-14	5.8459558806239e-12
"hsa-miR-933"	8915.30489295073	Inf	8955.29110351993	168.928705948776	9.97212835067335e-14	1.91215561124162e-11
"hsa-miR-628-5p"	233.234751297495	1.62426232826133e+70	233.879036436867	131.885637142285	5.49224333859999e-13	7.40116935557774e-11
"hsa-miR-510-5p"	495.201052875536	1.17590110891464e+149	489.184667983344	130.880141055611	5.78970223382874e-13	7.40116935557774e-11
"hsa-miR-132-5p"	517.111072398073	4.63387038404639e+155	522.21578987491	122.458816722059	9.15609185995139e-13	9.18294812401354e-11
"hsa-miR-340-3p&hsa-miR-340-5p"	1505.62389865644	Inf	1512.94880964298	121.660827536336	9.57804237185245e-13	9.18294812401354e-11
"hsa-miR-24-1-5p"	461.548646800402	8.70937810132644e+138	462.961405830452	114.326178100095	1.47018927685249e-12	1.25292797260651e-10
"hsa-miR-186-5p"	273.572934624648	2.25766408278741e+82	271.536737838966	103.314960602806	2.95420015842202e-12	2.16173926657999e-10
"hsa-miR-518c-5p"	3163.57860811305	Inf	3219.01985332204	102.593800607108	3.10027795728551e-12	2.16173926657999e-10
"hsa-miR-30e-3p"	620.901163005179	8.12595489247634e+186	612.400910315322	99.6394326552516	3.79170730153991e-12	2.35965993887843e-10
"hsa-miR-128-3p"	5306.12617285492	Inf	5223.28444634165	97.9002699363568	4.28079230300074e-12	2.35965993887843e-10
"hsa-miR-342-3p"	2286.89093281213	Inf	2275.54346698222	97.8133449852775	4.30707159638827e-12	2.35965993887843e-10
"hsa-miR-885-5p"	1677.43301219752	Inf	1682.4227021244	95.8248547488652	4.96178367518947e-12	2.42812141869052e-10
"hsa-miR-487b-3p"	1232.88066333025	Inf	1244.02032958876	95.53842231139	5.0651815774509e-12	2.42812141869052e-10
"hsa-miR-433-3p"	276.264072466971	1.45805040159368e+83	275.791765217506	93.8805116459762	5.71443433643694e-12	2.57821831532184e-10
"hsa-miR-28-5p"	993.7444298008	1.40243064800621e+299	964.89234122354	91.4908084478179	6.82526332347697e-12	2.87833542071493e-10
"hsa-miR-382-5p"	395.327750748275	1.01277061866483e+119	393.206734258754	90.7034638451814	7.24399867456654e-12	2.87833542071493e-10
"hsa-miR-411-5p"	538.305121910481	1.11170232671763e+162	528.586923208202	90.2378582027734	7.50543786366343e-12	2.87833542071493e-10
"hsa-miR-374a-5p"	1531.96646314991	Inf	1500.36182132481	88.3386575808266	8.68991812282418e-12	3.17388914295531e-10
"hsa-miR-200b-5p"	434.415409753874	5.91655511613653e+130	420.208451409206	87.2833814424126	9.43994758426911e-12	3.17684961858768e-10
"hsa-miR-9-3p"	15200.0323892655	Inf	15011.5958610643	86.4629524748798	1.00744940666962e-11	3.17684961858768e-10
"hsa-miR-125b-5p"	44432.6232838957	Inf	44432.6232838957	85.8492104960344	1.05811933103372e-11	3.17684961858768e-10
"hsa-miR-124-3p"	44432.6232838957	Inf	44432.6232838957	85.8492104960344	1.05811933103372e-11	3.17684961858768e-10
"hsa-miR-129-2-3p"	6137.53315344949	Inf	6082.28273321226	85.538348493387	1.0848933215427e-11	3.17684961858768e-10
"hsa-miR-938"	231.353275896835	4.4083456569929e+69	231.267179532627	85.162380082745	1.11831733639984e-11	3.17684961858768e-10
"hsa-miR-584-5p"	285.796347021648	1.07962542783498e+86	284.096871667753	84.5385051148295	1.17641649189987e-11	3.22254089031142e-10
"hsa-miR-133a-3p"	231.685901273395	5.55144262577697e+69	232.834409242466	83.7429448059394	1.25558625442524e-11	3.30596351025028e-10
"hsa-miR-146b-5p"	1101.42250801368	Inf	1105.92250879288	83.3860209667251	1.29307568849424e-11	3.30596351025028e-10
"hsa-miR-185-5p"	3009.6826593684	Inf	3015.56411045328	82.8019027982531	1.35722810511395e-11	3.35804502136258e-10
"hsa-miR-376a-5p"	562.182440196656	1.71307956604924e+169	568.909844786459	79.7164698671188	1.76298429903311e-11	4.04638029831492e-10
"ebv-miR-BART19-3p"	311.426874506411	5.60829283798007e+93	305.401695538267	79.6821945935067	1.76821408338576e-11	4.04638029831492e-10
"hsa-let-7b-3p"	271.784281905908	6.53463303081598e+81	268.815402605552	79.1868658630226	1.84581072109115e-11	4.04638029831492e-10
"hsa-miR-130b-3p"	277.796299251305	4.21714718750339e+83	278.365566820291	78.8705404592252	1.89740430168603e-11	4.04638029831492e-10
"hsa-miR-30c-5p"	7720.50713251677	Inf	7744.32285551018	78.8596261795358	1.89921369933947e-11	4.04638029831492e-10
"hsa-miR-30c-2-3p"	2165.79966257131	Inf	2110.9906526395	78.3061725673095	1.99361074606898e-11	4.12827422457303e-10
"hsa-miR-658"	4590.51451217179	Inf	4585.35966992144	78.0156899459695	2.04529883355639e-11	4.12827422457303e-10
