""	"logFC"	"Fold Change"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"
"hsa-miR-185-3p"	1748.82431893407	Inf	1748.82431893407	4.79350375952133	0.0104452472012721	0.969829504896527
"hsa-miR-183-5p"	-29.8573218708442	-972634059.017999	-29.8573218708442	-4.58368418349888	0.0120894744031279	0.969829504896527
"hsa-miR-106b-5p"	193.068156516941	1.31615282156361e+58	193.068156516941	4.25880573293833	0.0153167215793317	0.969829504896527
"hsa-miR-491-3p"	824.031121891959	1.14310217244872e+248	824.031121891959	4.03074706061899	0.0182287453143707	0.969829504896527
"hsa-miR-519d-3p"	-1372.4957141291	-Inf	-1372.4957141291	-3.99802093545564	0.0187003565539222	0.969829504896527
"hsa-miR-193a-5p"	1431.18178956118	Inf	1431.18178956118	3.77667677127661	0.0223133685690066	0.969829504896527
"kshv-miR-K12-6-3p"	841.767301755018	2.49578515617028e+253	841.767301755018	3.14016345037724	0.0386117507475971	0.969829504896527
"hsa-miR-93-5p"	89.4194223562917	8.27805531701593e+26	89.4194223562917	2.95496538922053	0.0458408678245146	0.969829504896527
"hsa-miR-330-3p"	26.1689136817894	75444567.3180547	26.1689136817894	2.93916742517312	0.0465291314248734	0.969829504896527
"hsa-miR-637"	699.15384106775	2.92602306404968e+210	699.15384106775	2.92127196464098	0.047323648330733	0.969829504896527
"hsa-miR-888-3p"	-196.460069612825	-1.38157321136914e+59	-196.460069612825	-2.891083255717	0.0487007357070713	0.969829504896527
"hsa-miR-199a-5p"	-17.3598899807608	-168208.371265673	-17.3598899807608	-2.80228143882649	0.0530352310108023	0.969829504896527
"hsa-miR-455-5p"	-17.7923667641077	-227005.348538528	-17.7923667641077	-2.62642170752798	0.0630375147247707	0.969829504896527
"kshv-miR-K12-6-5p"	-28.7240394445439	-443401818.002165	-28.7240394445439	-2.50976065422696	0.0708964680902262	0.969829504896527
"ebv-miR-BART19-3p"	66.3064356505891	91248563538278596608	66.3064356505891	2.49680910149724	0.0718373863770183	0.969829504896527
"hsa-miR-551b-3p"	-946.383227210698	-7.7578036551886e+284	-946.383227210697	-2.44304440930186	0.0759014122390431	0.969829504896527
"hsa-miR-602"	110.276133889653	1.57189707801136e+33	110.276133889653	2.39879977835119	0.0794462510187907	0.969829504896527
"hsa-miR-302c-5p"	-23.6558679114826	-13216784.6809997	-23.6558679114826	-2.33312892061854	0.085065609618952	0.969829504896527
"hsa-miR-922"	-60.5684453644858	-1709695802473965568	-60.5684453644858	-2.25443829823161	0.0924097344602604	0.969829504896527
"hsa-miR-421"	-18.5637258378577	-387470.20139736	-18.5637258378577	-2.24919554225143	0.0929242412201809	0.969829504896527
"hsa-miR-582-3p"	-16.7331293877154	-108936.612683416	-16.7331293877154	-2.23116452127052	0.0947188431008993	0.969829504896527
"hsa-let-7f-5p"	-92.7125860403487	-8.11464217277088e+27	-92.7125860403487	-2.22843815329072	0.094993616734349	0.969829504896527
"hsa-miR-605-5p"	47.681036399782	225643163920243	47.681036399782	2.12070873319148	0.106611246301328	0.969829504896527
"hsa-miR-24-3p"	231.85203317426	6.22897433014614e+69	231.85203317426	2.06930301414396	0.112714720268146	0.969829504896527
"hcmv-miR-US25-1-3p"	60.1286090774171	1260418966905362432	60.1286090774172	2.06837487444225	0.112828472657592	0.969829504896527
"hcmv-miR-UL148D"	167.461539564694	2.5760039761904e+50	167.461539564694	2.05362400297653	0.114653730471922	0.969829504896527
"hsa-miR-20b-5p"	-16.1717985653678	-73823.8094748663	-16.1717985653678	-2.02502562223369	0.118287464149569	0.969829504896527
"hsa-miR-647"	-30.8628596645178	-1952749390.78717	-30.8628596645178	-2.01758627959747	0.119253695987325	0.969829504896527
"hsa-miR-648"	16.6528378412601	103039.490638804	16.6528378412601	2.01705670637258	0.119322813004921	0.969829504896527
"ebv-miR-BART7-5p"	-19.1436386252821	-579174.526602299	-19.1436386252821	-1.98082339807211	0.124159594235308	0.969829504896527
"hsa-miR-146b-3p"	-100.013025019884	-1.27914709267214e+30	-100.013025019884	-1.96647836779901	0.126134487359882	0.969829504896527
"hsa-miR-363-3p"	-43.165589455951	-9865911303681.79	-43.165589455951	-1.92513585974465	0.132023799429906	0.969829504896527
