""	"logFC"	"Fold Change"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"
"hsa-miR-124-3p"	43032.7842484951	Inf	43032.7842484951	36319.333930113	9.9629376109316e-29	7.64157314758454e-26
"hsa-miR-125b-5p"	31459.7235196613	Inf	31459.7235196613	26551.7610308834	7.92863343252986e-28	3.0406309213752e-25
"hsa-miR-381-3p"	545.355030547021	1.47306693367827e+164	548.668044482275	93.0625042361534	1.43210320961638e-11	3.66141053925254e-09
"hsa-miR-502-5p"	135.439159101946	5.90540214131237e+40	136.287115588082	87.3968053177266	2.17006031772079e-11	4.16109065922961e-09
"hsa-miR-573"	105.043041382226	4.17932641458783e+31	104.831314046057	75.8867433553401	5.52335777807881e-11	7.4262339334228e-09
"hsa-miR-612"	126.904607095681	1.5925509069886e+38	131.044272992559	75.3098644172393	5.80930946551979e-11	7.4262339334228e-09
"hsa-miR-106b-3p"	133.187937701603	1.24040728669426e+40	139.333805929836	71.8063541277074	7.96099360099081e-11	8.40281318524753e-09
"hsa-miR-20a-3p"	93.0214994462391	1.0052210512179e+28	93.7036238685489	70.7701358947289	8.76434230534292e-11	8.40281318524753e-09
"hsa-miR-372-3p"	95.8948247319614	7.36577881260212e+28	95.8153493101707	68.7891004927452	1.05746570404623e-10	8.50070266421444e-09
"hsa-miR-374a-3p"	97.6748246311123	2.52960106355078e+29	96.2762336336175	68.2105733038861	1.11820909962346e-10	8.50070266421444e-09
"hsa-miR-1180-3p"	95.1948967532013	4.53439507486923e+28	94.5422657888125	66.6444884563421	1.30385909017374e-10	8.50070266421444e-09
"hsa-miR-512-3p"	102.858867793256	9.19611779932077e+30	102.292513058489	66.429159764061	1.33206271532741e-10	8.50070266421444e-09
"hsa-miR-188-5p"	94.3648004581901	2.55055957905515e+28	95.5096032751279	65.1876174968892	1.50905551593976e-10	8.50070266421444e-09
"hsa-miR-520a-3p"	95.65387459562	6.23283248369792e+28	97.9997411832364	64.4245982680408	1.63123340001367e-10	8.50070266421444e-09
"ebv-miR-BART4-5p"	98.8018402836735	5.52481260916265e+29	99.8669435533325	63.5873529307082	1.77860155603905e-10	8.50070266421444e-09
"hsa-miR-548a-3p"	101.913725659181	4.77626476542004e+30	101.795712826442	63.3290648408058	1.82711638565777e-10	8.50070266421444e-09
"hsa-miR-205-5p"	95.2140552725684	4.5950119572104e+28	95.3264962084464	62.7500130747171	1.94152049728092e-10	8.50070266421444e-09
"hsa-miR-515-3p"	98.4744877449459	4.40326292812195e+29	98.7046463104917	62.4928866666293	1.99494977778175e-10	8.50070266421444e-09
"kshv-miR-K12-4-3p"	92.0587880928007	5.15770597139085e+27	91.5704048017637	60.840007989795	2.38174806919939e-10	8.76918117076097e-09
"hsa-miR-16-2-3p"	100.84306794177	2.27398871576451e+30	100.297221363064	60.6900932167721	2.42091304051571e-10	8.76918117076097e-09
"hsa-miR-651-5p"	106.151020972992	9.00826976460006e+31	107.76021466837	59.1748120536972	2.86134602018571e-10	8.76918117076097e-09
"hsa-miR-517c-3p"	103.338575221439	1.28236262203923e+31	102.479525940215	59.0754933622312	2.89329586270547e-10	8.76918117076097e-09
"hsa-miR-525-3p"	91.1368146971474	2.72216805459012e+27	91.6452959601975	58.8798101370319	2.95745419782749e-10	8.76918117076097e-09
"hsa-miR-567"	92.169312483756	5.56836554224895e+27	90.5319189470962	57.6228155076584	3.41088298577461e-10	8.76918117076097e-09
"hsa-miR-146a-3p"	104.772631702479	3.4650129901766e+31	105.122577010017	57.5675522754055	3.43258409205095e-10	8.76918117076097e-09
"hsa-miR-373-5p"	98.0574411769686	3.2978514738703e+29	101.504062068931	57.4422260783117	3.48238931205522e-10	8.76918117076097e-09
"kshv-miR-K12-3-3p"	97.3862824604468	2.07105764384066e+29	97.8121915188404	57.4193974512691	3.49155078754698e-10	8.76918117076097e-09
"hsa-miR-555"	76.5840660322872	1.13266391729368e+23	76.5645958741003	57.2050289887624	3.57894677703769e-10	8.76918117076097e-09
"hsa-miR-10a-5p"	116.435300063087	1.12335719980554e+35	115.25434402172	57.179205680121	3.58964361325284e-10	8.76918117076097e-09
"hsa-miR-615-5p"	96.7383195012941	1.32170916049686e+29	97.1542546681093	56.925312695501	3.69679678964623e-10	8.76918117076097e-09
"hsa-miR-148a-5p"	83.4875817467654	1.35602086244967e+25	83.1663556671047	56.6229574556325	3.82923829716276e-10	8.76918117076097e-09
"hsa-miR-19b-1-5p"	89.7127701632285	1.01445973300268e+27	90.5498257475911	56.5147572669685	3.87795413360465e-10	8.76918117076097e-09
"hsa-miR-302d-3p"	101.697215836107	4.11066837841705e+30	99.6978909901654	56.4705672523119	3.89805500029632e-10	8.76918117076097e-09
"hsa-miR-519c-3p"	102.260377983509	6.07352944005175e+30	102.608276867944	56.2860396567285	3.98329769431439e-10	8.76918117076097e-09
"hsa-miR-484"	119.344066262663	8.43613944077403e+35	122.450148803312	56.0996226295185	4.0715987675776e-10	8.76918117076097e-09
"hsa-miR-613"	89.5914983349673	9.32670746727803e+26	89.8437716253412	56.0078137117475	4.11591293542888e-10	8.76918117076097e-09
"hsa-miR-760"	113.789965847157	1.79553107406799e+34	115.158160969524	55.3534593993225	4.44833371448804e-10	8.95647408257941e-09
"hsa-miR-378a-5p"	88.400744646439	4.08578752060586e+26	88.9479816274095	54.784976383396	4.76240161847335e-10	8.95647408257941e-09
"hsa-miR-518d-3p"	97.0710541802539	1.66455833203381e+29	98.2437823098835	54.6693970256726	4.82933492289428e-10	8.95647408257941e-09
"ebv-miR-BART2-5p"	97.7790097432821	2.71903550771207e+29	98.986968548087	54.645263928745	4.84344691509168e-10	8.95647408257941e-09
"hsa-miR-548d-3p"	108.179499586662	3.67514341749172e+32	110.397710008195	54.6319932219641	4.8512272699329e-10	8.95647408257941e-09
"hsa-miR-609"	102.718192035678	8.34174487341967e+30	103.752702461649	54.4991007156921	4.92993785574491e-10	8.95647408257941e-09
"kshv-miR-K12-12-5p&kshv-miR-K12-12-3p"	95.2414050379102	4.6829524235866e+28	95.8301087759195	54.3078941521567	5.0457797628994e-10	8.95647408257941e-09
"hsa-miR-767-5p"	91.3552882776907	3.16724773409649e+27	91.1287536240088	53.8922013056867	5.30860249947826e-10	8.95647408257941e-09
"hsa-miR-517b-3p"	102.010102167491	5.10623282557032e+30	103.407573783117	53.7644035195973	5.39254473406622e-10	8.95647408257941e-09
"hsa-miR-371a-3p"	100.42221634805	1.69863219734696e+30	100.647897841322	53.6345062076953	5.47943516101128e-10	8.95647408257941e-09
"hsa-miR-92a-1-5p"	87.7551306689035	2.61171993955568e+26	87.56184238309	53.6213548362846	5.48832179766926e-10	8.95647408257941e-09
"hiv1-miR-N367"	104.20547411462	2.338694104636e+31	103.070252287451	53.1406906795079	5.82478937739275e-10	9.06534552731649e-09
"ebv-miR-BART14-3p"	98.9848637023296	6.27210169192646e+29	98.5095283146492	52.5607753110318	6.26279617965895e-10	9.06534552731649e-09
"hsa-miR-191-3p"	103.628321564716	1.56759255169673e+31	101.665713930676	52.4790399005693	6.32752856118111e-10	9.06534552731649e-09
"hsa-miR-125a-3p"	162.525281717622	8.41365792230541e+48	164.012600849461	52.4681983791451	6.33617247190898e-10	9.06534552731649e-09
"hcmv-miR-UL22A-5p"	87.8332752756635	2.75708703099946e+26	85.8418510627593	52.4268409415394	6.36927164304451e-10	9.06534552731649e-09
"hsa-miR-501-3p"	95.5932950179003	5.97653111328286e+28	94.5898761783685	52.3471701961669	6.43359614365187e-10	9.06534552731649e-09
"hsa-miR-892b"	98.5593394590389	4.67000698340757e+29	98.7681783148373	52.3190137650659	6.45650760028929e-10	9.06534552731649e-09
"sv40-miR-S1-3p"	106.718689689048	1.33513965278118e+32	107.415312572765	52.2651816786071	6.50057371580713e-10	9.06534552731649e-09
"ebv-miR-BHRF1-2-5p"	77.3746189957996	1.95921104662693e+23	77.2565734679322	52.1029794477645	6.6354570381938e-10	9.06977649435549e-09
"hsa-miR-96-5p"	115.400251655744	5.48197758639151e+34	114.731439737114	51.7978788656452	6.89799435767984e-10	9.06977649435549e-09
"hsa-miR-15a-5p"	1213.45956556248	Inf	1218.60497701833	51.7764400743173	6.91688736163104e-10	9.06977649435549e-09
