""	"logFC"	"Fold Change"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"
"hsa-miR-124-3p"	43032.7842484951	Inf	43032.7842484951	36319.333930113	9.9629376109316e-29	7.64157314758454e-26
"hsa-miR-125b-5p"	31459.7235196613	Inf	31459.7235196613	26551.7610308834	7.92863343252986e-28	3.0406309213752e-25
"hsa-miR-381-3p"	551.981058417529	1.45497530445074e+166	548.668044482275	94.1932075619292	1.32211434582473e-11	3.38020567749188e-09
"hsa-miR-502-5p"	137.135072074218	1.91324308297388e+41	136.287115588082	88.4911518631151	1.99854842921176e-11	3.83221661301354e-09
"hsa-miR-612"	135.183938889438	4.94789571660387e+40	131.044272992559	80.2231246141923	3.82434571465967e-11	5.6757891386609e-09
"hsa-miR-106b-3p"	145.479674158069	6.21935978315761e+43	139.333805929836	78.4332664147257	4.43999150351569e-11	5.6757891386609e-09
"hsa-miR-573"	104.619586709889	3.11626034794571e+31	104.831314046057	75.5808249849328	5.67292767484216e-11	6.21590789514848e-09
"hsa-miR-20a-3p"	94.3857482908587	2.58786369978215e+28	93.7036238685489	71.808047309861	7.95975215182693e-11	7.63141237556407e-09
"hsa-miR-372-3p"	95.7358738883799	6.59735268570021e+28	95.8153493101707	68.6750788488963	1.06913093732289e-10	7.85222072505254e-09
"hsa-miR-520a-3p"	100.345607770853	1.61078609583444e+30	97.9997411832364	67.5845646183119	1.18851000386302e-10	7.85222072505254e-09
"hsa-miR-188-5p"	96.6544060920657	1.24702582300138e+29	95.5096032751279	66.7692870977902	1.28782781779556e-10	7.85222072505254e-09
"hsa-miR-374a-3p"	94.8776426361226	3.63928737931646e+28	96.2762336336175	66.2571795994783	1.35509357230383e-10	7.85222072505254e-09
"hsa-miR-1180-3p"	93.8896348244237	1.83483224648604e+28	94.5422657888125	65.7306945817562	1.42849906288225e-10	7.85222072505254e-09
"hsa-miR-512-3p"	101.726158323722	4.19396690519985e+30	102.292513058489	65.6976240206463	1.43326062778012e-10	7.85222072505254e-09
"ebv-miR-BART4-5p"	100.932046822991	2.41865329035193e+30	99.8669435533325	64.9583212713991	1.5446287958663e-10	7.8982019095297e-09
"hsa-miR-548a-3p"	101.677699993703	4.05543633768743e+30	101.795712826442	63.182398780111	1.85534223826386e-10	8.21336570616444e-09
"hsa-miR-205-5p"	95.4389371443243	5.37010570880395e+28	95.3264962084464	62.8982195590702	1.91147291742815e-10	8.21336570616444e-09
"hsa-miR-515-3p"	98.9348048760375	6.05820385295698e+29	98.7046463104917	62.7850084837899	1.9343767546074e-10	8.21336570616444e-09
"hsa-miR-373-5p"	104.950682960894	3.92015858902977e+31	101.504062068931	61.480299560671	2.22247592250089e-10	8.21336570616444e-09
"hsa-miR-651-5p"	109.369408363749	8.3844103519583e+32	107.76021466837	60.9689301622031	2.34864966627072e-10	8.21336570616444e-09
"kshv-miR-K12-4-3p"	91.0820215107268	2.62071950164692e+27	91.5704048017637	60.1944804102049	2.55576734735917e-10	8.21336570616444e-09
"hsa-miR-16-2-3p"	99.751374784358	1.0669791154028e+30	100.297221363064	60.0330826672152	2.60153457068462e-10	8.21336570616444e-09
"hsa-miR-525-3p"	92.1537772232476	5.50872582892569e+27	91.6452959601975	59.5368284962124	2.74827719382137e-10	8.21336570616444e-09
"hsa-miR-484"	125.556231343961	6.25448819368147e+37	122.450148803312	59.0197520308922	2.91140708256131e-10	8.21336570616444e-09
"hsa-miR-517c-3p"	101.620476658992	3.89772906891235e+30	102.479525940215	58.0933091197639	3.23238497578566e-10	8.21336570616444e-09
"hsa-miR-146a-3p"	105.472522317554	5.62850344087455e+31	105.122577010017	57.9521087088528	3.2848001573795e-10	8.21336570616444e-09
"kshv-miR-K12-3-3p"	98.2381005772341	3.73779080051089e+29	97.8121915188404	57.921633307986	3.29624090901983e-10	8.21336570616444e-09
"hsa-miR-19b-1-5p"	91.3868813319537	3.23737114211671e+27	90.5498257475911	57.5693672869944	3.4318688434563e-10	8.21336570616444e-09
"hsa-miR-615-5p"	97.5701898349244	2.35263104136187e+29	97.1542546681093	57.4148237714442	3.4933896081888e-10	8.21336570616444e-09
"hsa-miR-555"	76.5451257159135	1.10250067075025e+23	76.5645958741003	57.1759422342663	3.59099805311509e-10	8.21336570616444e-09
"hsa-miR-548d-3p"	112.615920429729	7.95737891205787e+33	110.397710008195	56.8724409440765	3.71957125097734e-10	8.21336570616444e-09
"hsa-miR-760"	116.526356091891	1.19654343716112e+35	115.158160969524	56.6845843819596	3.80180643856961e-10	8.21336570616444e-09
"hsa-miR-519c-3p"	102.95617575238	9.83778077049943e+30	102.608276867944	56.6690198645468	3.80871323310511e-10	8.21336570616444e-09
"hsa-miR-613"	90.0960449157151	1.32315892428004e+27	89.8437716253412	56.3232292526034	3.96594671318516e-10	8.21336570616444e-09
"hsa-miR-148a-5p"	82.8451295874439	8.68698357746075e+24	83.1663556671047	56.1872334770068	4.02982214431612e-10	8.21336570616444e-09
"hsa-miR-10a-5p"	114.073387980353	2.18530213025594e+34	115.25434402172	56.0193146788199	4.11033137155419e-10	8.21336570616444e-09
"ebv-miR-BART2-5p"	100.194927352892	1.4510372002602e+30	98.986968548087	55.9954356655404	4.12192990429082e-10	8.21336570616444e-09
"hsa-miR-518d-3p"	99.4165104395131	8.45963658153041e+29	98.2437823098835	55.9903333287407	4.12441309614866e-10	8.21336570616444e-09
"hsa-miR-609"	104.78721288762	3.50021112804061e+31	103.752702461649	55.5968592875493	4.32119847488137e-10	8.21336570616444e-09
"hsa-miR-567"	88.8945254104364	5.75332090974871e+26	90.5319189470962	55.5754697450868	4.33220175269485e-10	8.21336570616444e-09
"hsa-miR-378a-5p"	89.4952186083801	8.72459487328776e+26	88.9479816274095	55.4632594724922	4.39045624449468e-10	8.21336570616444e-09
"hsa-miR-517b-3p"	104.805045398742	3.54374417154854e+31	103.407573783117	55.2374777789742	4.51042530204785e-10	8.23689573016834e-09
"kshv-miR-K12-12-5p&kshv-miR-K12-12-3p"	96.4188125139289	1.0591432749401e+29	95.8301087759195	54.9792672861012	4.65227629040174e-10	8.29836259241426e-09
"hsa-miR-302d-3p"	97.6985661442238	2.57157350624113e+29	99.6978909901654	54.250191655129	5.08135172745878e-10	8.72491015731243e-09
"hsa-miR-371a-3p"	100.873579334593	2.32259319737576e+30	100.647897841322	53.875574686206	5.31943792906678e-10	8.72491015731243e-09
"hsa-miR-767-5p"	90.9022189703269	2.31363359858214e+27	91.1287536240088	53.6249272071839	5.48590623781622e-10	8.72491015731243e-09
"hsa-miR-125a-3p"	165.499919981299	6.61363456454531e+49	164.012600849461	53.4285038090163	5.62055861665238e-10	8.72491015731243e-09
"hsa-miR-92a-1-5p"	87.3685540972765	1.99781588090532e+26	87.56184238309	53.385143467666	5.6507931525856e-10	8.72491015731243e-09
"hsa-miR-588"	90.2019732835916	1.42396602182309e+27	87.9377878347667	53.3253244790941	5.69281177850151e-10	8.72491015731243e-09
"sv40-miR-S1-3p"	108.111935456482	3.50699754359916e+32	107.415312572765	52.9475199210467	5.96665294746725e-10	8.72491015731243e-09
"hsa-miR-892b"	98.9770171706357	6.23808157514931e+29	98.7681783148373	52.5407328437685	6.27859850573588e-10	8.72491015731243e-09
"hsa-miR-937-3p"	192.666220572067	9.96119732781886e+57	176.760594313835	52.4024819414091	6.38885972048303e-10	8.72491015731243e-09
"hsa-miR-15a-5p"	1223.75038847418	Inf	1218.60497701833	52.215533547989	6.5415219312997e-10	8.72491015731243e-09
"ebv-miR-BART14-3p"	98.0341929269689	3.24513427703224e+29	98.5095283146492	52.0559709283258	6.67514812605416e-10	8.72491015731243e-09
"hiv1-miR-N367"	101.935030460281	4.84732096516007e+30	103.070252287451	51.9828537715565	6.73742794283365e-10	8.72491015731243e-09
"hsa-miR-518c-3p"	98.2046934958581	3.65223284012563e+29	97.3206766875245	51.9671784219256	6.75086679680439e-10	8.72491015731243e-09
"ebv-miR-BHRF1-2-5p"	77.1385279400649	1.66345375344831e+23	77.2565734679322	51.9439990536198	6.77079559589106e-10	8.72491015731243e-09
"hsa-miR-595"	125.095497440541	4.54461452419792e+37	123.462996077699	51.9243158132094	6.78777171185016e-10	8.72491015731243e-09
"hsa-miR-196b-5p"	104.516881404387	2.90212661438589e+31	103.865380248098	51.7932911832718	6.90203226848678e-10	8.72491015731243e-09
