ArrayDataFile	SourceName	FactorValue
GSM189437.CEL	6.5hr_nostressin_biological_rep_1	no65
GSM189444.CEL	18hr_erstressin_unstimulated_biological_rep_2	er18u
GSM189440.CEL	18hr_erstressin_biological_rep_2	er18
GSM189436.CEL	6.5hr_erstressin_biological_rep_2	er65
GSM189433.CEL	30min_nostressin_biological_rep_1	no30
GSM189434.CEL	30min_nostressin_biological_rep_2	no30
GSM189438.CEL	6.5hr_nostressin_biological_rep_2	no65
GSM189432.CEL	30min_erstressin_biological_rep_2	er30
GSM189439.CEL	18hr_erstressin_biological_rep_1	er18
GSM189441.CEL	18hr_nostressin_biological_rep_1	no18
GSM189446.CEL	6.5hr_vehicle_control_biological_rep_2	c65
GSM189445.CEL	6.5hr_vehicle_control_biological_rep_1	c65
GSM189443.CEL	18hr_erstressin_unstimulated_biological_rep_1	er18u
GSM189435.CEL	6.5hr_erstressin_biological_rep_1	er65
GSM189431.CEL	30min_erstressin_biological_rep_1	er30
GSM189442.CEL	18hr_nostressin_biological_rep_2	no18
