Row.names	Apap_The_002_1	Apap_The_002_2	Apap_The_002_3	Apap_The_024_1	Apap_The_024_2	Apap_The_024_3	Apap_Tox_002_2	Apap_Tox_002_3	Apap_Tox_024_1	Apap_Tox_024_2	Con_DMSO_002_1	Con_DMSO_002_2	Con_DMSO_002_3	Con_DMSO_024_1	Con_DMSO_024_2	Con_DMSO_024_3
ENSG00000000003	1226	3532	1843	1668	2185	1530	2707	2535	1949	2219	3015	2633	4627	3315	6258	5646
ENSG00000000005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000000419	181	340	62	57	128	24	12	81	175	116	44	0	0	116	588	250
ENSG00000000457	77	411.22	44	326.78	375	60	398	272.55	431.96	227.03	166.01	15	1	271	833	153
ENSG00000000460	147	126	0	38.32	0	56.99	1	96.65	59	0	61	379	0	0	0	0
ENSG00000000938	496	489	321	355	189	226	228	338	0	318	132	0	0	0	0	1
ENSG00000000971	8477.08	15169.22	7147.62	9666.21	11486.53	5410.12	10920.77	10273.22	9285.61	9538.15	11190.01	7305.02	20320.43	20630.21	26593.04	28750.59
ENSG00000001036	3643	5993	2583	4232	4485	1831	5026	3371	3170	3682	3462	3760	1988	2908	6715	5177
ENSG00000001084	1658.87	3282	1518	1705	1976	1269.48	1574	1427	1263	2102.35	2816	2110.72	2257	1836	5427.16	7253
ENSG00000001167	52	156	29	227	261	98	163	2	321	129	298	731	526	1	1248	2
ENSG00000001460	70	333.98	115	224	197	289.98	181	189	329	173	525	312	407	363	245.21	0
ENSG00000001461	224	434	261	474	241	293	687	139	263	221	297	35	1064	435	1209	1
ENSG00000001497	1035	610	178	607	545	158	520	661	872	514	786	698	2018	70	791	517
ENSG00000001561	89	321	169	205	302	266	557	382	315	282	322	1481	0	161	1651	569
ENSG00000001617	116	102	43	122	116	2	0	81	0	0	0	0	0	289	0	777
ENSG00000001626	0	72	0	0	0	0	0	0	0	0	1	78	0	0	0	0
ENSG00000001629	358	567	392	398	460	278	750	678	463	570	1175	329	1096	1488	931	731
ENSG00000001630	2478.05	5063.87	2483	2304	2110.35	991.01	3260	2193	1478.03	1883.89	3877.8	2279.83	3645	5539	6771.68	5469
ENSG00000001631	69	552	68	223	228	190	347	418	216	314	291	294	452	1923	1127	808
ENSG00000002016	5	71	47	55.15	0	36	62	66	0	74	1	18	1	298	368	158
ENSG00000002079	59	0	0	0	0	0	24	33	0	0	66	0	0	0	0	0
ENSG00000002330	850	712	617	1214	949	663	1194	563	1031	281	245	39	286	334	3	137
ENSG00000002549	1473	2644	1740	1886	1331	959	1504	1575	1691	1060	1246	549	783	2876	2287	761
ENSG00000002586	7054	11039	4767	11420	10559	7205	10448	7608	6061	7064	8070	11359	3179	5292	8917	9040
ENSG00000002587	86	85.44	0	36	0	1	0	0	81.05	41	0	0	0	0	409.06	0
ENSG00000002726	0	1	0	11	0	129	0	0	0	0	0	0	0	0	0	0
ENSG00000002745	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000002746	0	0	0	1	0	48	0	0	0	0	0	0	0	0	0.68	0
ENSG00000002822	206	692	365	192	621	11	281	50	57	221	0	1029	0	6	0	1
ENSG00000002834	11469.02	16871	7403	17346	16185.86	8907	12655	11094.65	6223	8407	13139	10189	6859	14821	17811	11476
ENSG00000002919	1	398.98	2	127	168	0	55.61	96	49	1	0	59	0	0	0	0
ENSG00000002933	15047	18944	10246	22519	22880	13608	13132	10104	7561	8359	8409	25436	9504	9378	14873	11196
ENSG00000003056	714	1021	886	842.12	897	862	687	1052	987	1044	1527	548	13	1393	2319.33	2673
ENSG00000003096	92	342	197	265	324	143	419	110	224	410	368	676	453	224	693	561
ENSG00000003137	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000003147	158	327	0	9	101	42	170	0	77	30	33	34	2	0	9	1
ENSG00000003249	1159	1346	765	2004	2163	1605	932	329	711	972	1308	2678	2108	1363	1213	2113
ENSG00000003393	464	843	540	644	995	470	774	970	1393	901	1814	1786	1815	1047	2949	1581
ENSG00000003400	296	443	243	222	149	80	458	400	96	421	822	39.42	854	93	37	3
ENSG00000003402	1221.22	2469.22	776.56	1803.27	2096.95	530.63	1218.42	1507.77	1390.49	1627.43	2335.26	1216.05	595	2569.81	3152.74	3220.86
ENSG00000003436	12791.09	22813.81	6801	15001	14530	7737	15110	13871.97	14296	14200.02	30984	19364	14076	26419	41581	44896
ENSG00000003509	0	282	114	108	124	22	3	153.72	0	12	175	136	0	74	25	0
ENSG00000003756	162	782.81	512	497	769	494	241.54	667	698	696	579	441	2082	456	335	273
ENSG00000003987	0	112	0	7.88	56.68	34	0	57	0	8	2	0	0	177	0	353
ENSG00000003989	2446	4829	1993	4796	5956	2485	2348	2374	2733	3668	3209	4109	4691	6083	6944	7841
ENSG00000004059	711	1523	985	1297	958	1746	969	680	932	422	899	1735	8	535	306	671
ENSG00000004139	0	0	37.18	112.24	11	2.17	7.25	0	0	77.35	0	0	0	0	0	9.29
ENSG00000004142	2968	4164	3287	4088	4183	2110	3739	2305	1753	2835	2856	3638	2426	3484	4551	1739
ENSG00000004399	687	695	800	1024	1344	1207	374	378	474	369	35	641	823	480	1196	132
ENSG00000004455	5801	8198	3925	3843	4997	2720	8767	7086	4265	4681	8224.65	5602.98	4591	6403.88	14925.95	7936
ENSG00000004468	32	173	12	47	40	0	46	65	0	129	0	0	0	435	0	6
ENSG00000004478	1165	1597	619	1034	1624	510.76	1467	1307	2132	1029	655	833	599	1375	1879	1181
