Source Name	Characteristics [Organism]	Term Source REF	Term Accession Number	Description	Protocol REF	Protocol REF	Sample Name	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Material Type	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Derived Array Data Matrix File	Comment [Derived ArrayExpress FTP file]
GSE7806GSM189437	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_9606	6.5hr_nostressin_biological_rep_1:  3764.Dozier.4A.vt.CEL. A172 human glioblastoma cells in culture, simultaneously stimulated with cytokine and treated with 10uM nostressin for 6.5 hours.	P-G7806-1	P-G7806-2	GSE7806GSM189437 sample	P-G7806-4	GSE7806GSM189437 extract	total_RNA	P-G7806-3	GSE7806GSM189437 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	6.5hr_nostressin_biological_rep_1	A-AFFY-37	P-AFFY-6	6.5hr_nostressin_biological_rep_1	GSM189437.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7806/E-GEOD-7806.raw.1.zip	E-GEOD-7806-processed-data-1630559478.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7806/E-GEOD-7806.processed.1.zip
GSE7806GSM189444	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_9606	18hr_erstressin_unstimulated_biological_rep_2:  3771.Dozier.7B.vt.CEL. A172 human glioblastoma cells in culture treated with 10uM erstressin for 18 hours. (no cytokine stimulaion)	P-G7806-1	P-G7806-2	GSE7806GSM189444 sample	P-G7806-4	GSE7806GSM189444 extract	total_RNA	P-G7806-3	GSE7806GSM189444 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	18hr_erstressin_unstimulated_biological_rep_2	A-AFFY-37	P-AFFY-6	18hr_erstressin_unstimulated_biological_rep_2	GSM189444.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7806/E-GEOD-7806.raw.1.zip	E-GEOD-7806-processed-data-1630559478.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7806/E-GEOD-7806.processed.1.zip
GSE7806GSM189440	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_9606	18hr_erstressin_biological_rep_2:  3767.Dozier.5B.vt.CEL. A172 human glioblastoma cells in culture, simultaneously stimulated with cytokine and treated with 10uM erstressin for 18 hours.	P-G7806-1	P-G7806-2	GSE7806GSM189440 sample	P-G7806-4	GSE7806GSM189440 extract	total_RNA	P-G7806-3	GSE7806GSM189440 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	18hr_erstressin_biological_rep_2	A-AFFY-37	P-AFFY-6	18hr_erstressin_biological_rep_2	GSM189440.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7806/E-GEOD-7806.raw.1.zip	E-GEOD-7806-processed-data-1630559478.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7806/E-GEOD-7806.processed.1.zip
GSE7806GSM189436	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_9606	6.5hr_erstressin_biological_rep_2:  3783.Dozier.3B.vt.CEL. A172 human glioblastoma cells in culture, simultaneously stimulated with cytokine and treated with 10uM erstressin for 6.5 hours.	P-G7806-1	P-G7806-2	GSE7806GSM189436 sample	P-G7806-4	GSE7806GSM189436 extract	total_RNA	P-G7806-3	GSE7806GSM189436 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	6.5hr_erstressin_biological_rep_2	A-AFFY-37	P-AFFY-6	6.5hr_erstressin_biological_rep_2	GSM189436.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7806/E-GEOD-7806.raw.1.zip	E-GEOD-7806-processed-data-1630559478.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7806/E-GEOD-7806.processed.1.zip
GSE7806GSM189433	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_9606	30min_nostressin_biological_rep_1:  3760.Dozier.2A.vt.CEL. A172 human glioblastoma cells in culture, simultaneously stimulated with cytokine and treated with 10uM nostressin for 30 minutes.	P-G7806-1	P-G7806-2	GSE7806GSM189433 sample	P-G7806-4	GSE7806GSM189433 extract	total_RNA	P-G7806-3	GSE7806GSM189433 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	30min_nostressin_biological_rep_1	A-AFFY-37	P-AFFY-6	30min_nostressin_biological_rep_1	GSM189433.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7806/E-GEOD-7806.raw.1.zip	E-GEOD-7806-processed-data-1630559478.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7806/E-GEOD-7806.processed.1.zip
GSE7806GSM189434	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_9606	30min_nostressin_biological_rep_2:  3761.Dozier.2B.vt.CEL. A172 human glioblastoma cells in culture, simultaneously stimulated with cytokine and treated with 10uM nostressin for 30 minutes.	P-G7806-1	P-G7806-2	GSE7806GSM189434 sample	P-G7806-4	GSE7806GSM189434 extract	total_RNA	P-G7806-3	GSE7806GSM189434 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	30min_nostressin_biological_rep_2	A-AFFY-37	P-AFFY-6	30min_nostressin_biological_rep_2	GSM189434.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7806/E-GEOD-7806.raw.1.zip	E-GEOD-7806-processed-data-1630559478.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7806/E-GEOD-7806.processed.1.zip
GSE7806GSM189438	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_9606	6.5hr_nostressin_biological_rep_2:  3765.Dozier.4B.vt.CEL. A172 human glioblastoma cells in culture, simultaneously stimulated with cytokine and treated with 10uM nostressin for 6.5 hours.	P-G7806-1	P-G7806-2	GSE7806GSM189438 sample	P-G7806-4	GSE7806GSM189438 extract	total_RNA	P-G7806-3	GSE7806GSM189438 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	6.5hr_nostressin_biological_rep_2	A-AFFY-37	P-AFFY-6	6.5hr_nostressin_biological_rep_2	GSM189438.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7806/E-GEOD-7806.raw.1.zip	E-GEOD-7806-processed-data-1630559478.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7806/E-GEOD-7806.processed.1.zip
GSE7806GSM189432	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_9606	30min_erstressin_biological_rep_2:  3759.Dozier.1B.vt.CEL. A172 human glioblastoma cells in culture, simultaneously stimulated with cytokine and treated with 10uM erstressin for 30 minutes.	P-G7806-1	P-G7806-2	GSE7806GSM189432 sample	P-G7806-4	GSE7806GSM189432 extract	total_RNA	P-G7806-3	GSE7806GSM189432 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	30min_erstressin_biological_rep_2	A-AFFY-37	P-AFFY-6	30min_erstressin_biological_rep_2	GSM189432.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7806/E-GEOD-7806.raw.1.zip	E-GEOD-7806-processed-data-1630559478.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7806/E-GEOD-7806.processed.1.zip
GSE7806GSM189439	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_9606	18hr_erstressin_biological_rep_1:  3766.Dozier.5A.vt.CEL. A172 human glioblastoma cells in culture, simultaneously stimulated with cytokine and treated with 10uM erstressin for 18 hours.	P-G7806-1	P-G7806-2	GSE7806GSM189439 sample	P-G7806-4	GSE7806GSM189439 extract	total_RNA	P-G7806-3	GSE7806GSM189439 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	18hr_erstressin_biological_rep_1	A-AFFY-37	P-AFFY-6	18hr_erstressin_biological_rep_1	GSM189439.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7806/E-GEOD-7806.raw.1.zip	E-GEOD-7806-processed-data-1630559478.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7806/E-GEOD-7806.processed.1.zip
GSE7806GSM189441	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_9606	18hr_nostressin_biological_rep_1:  3768.Dozier.6A.vt.CEL. A172 human glioblastoma cells in culture, simultaneously stimulated with cytokine and treated with 10uM nostressin for 18 hours.	P-G7806-1	P-G7806-2	GSE7806GSM189441 sample	P-G7806-4	GSE7806GSM189441 extract	total_RNA	P-G7806-3	GSE7806GSM189441 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	18hr_nostressin_biological_rep_1	A-AFFY-37	P-AFFY-6	18hr_nostressin_biological_rep_1	GSM189441.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7806/E-GEOD-7806.raw.1.zip	E-GEOD-7806-processed-data-1630559478.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7806/E-GEOD-7806.processed.1.zip
