1599	11679671	"An abundant class of tiny RNAs with probable regulatory roles in Caenorhabditis elegans"	Lau NC, Lim LP, Weinstein EG, Bartel DP	Science. 294:858-862(2001).
1600	12672692	"The microRNAs of Caenorhabditis elegans"	Lim LP, Lau NC, Weinstein EG, Abdelhakim A, Yekta S, Rhoades MW, Burge CB, Bartel DP	Genes Dev. 17:991-1008(2003).
1601	12747828	"MicroRNAs and other tiny endogenous RNAs in C. elegans"	Ambros V, Lee RC, Lavanway A, Williams PT, Jewell D	Curr Biol. 13:807-818(2003).
1602	12769849	"Computational and experimental identification of C. elegans microRNAs"	Grad Y, Aach J, Hayes GD, Reinhart BJ, Church GM, Ruvkun G, Kim J	Mol Cell. 11:1253-1263(2003).
1603	17174894	"Large-scale sequencing reveals 21U-RNAs and additional microRNAs and endogenous siRNAs in C. elegans"	Ruby JG, Jan C, Player C, Axtell MJ, Lee W, Nusbaum C, Ge H, Bartel DP	Cell. 127:1193-1207(2006).
1604	19460142	"Dynamic expression of small non-coding RNAs, including novel microRNAs and piRNAs/21U-RNAs, during Caenorhabditis elegans development"	Kato M, de Lencastre A, Pincus Z, Slack FJ	Genome Biol. 10:R54(2009).
1605	20062054	"Comprehensive discovery of endogenous Argonaute binding sites in Caenorhabditis elegans"	Zisoulis DG, Lovci MT, Wilbert ML, Hutt KR, Liang TY, Pasquinelli AE, Yeo GW	Nat Struct Mol Biol. 17:173-179(2010).
1606	10642801	"The lin-4 regulatory RNA controls developmental timing in Caenorhabditis elegans  by blocking LIN-14 protein synthesis after the initiation of translation"	Olsen PH, Ambros V	Dev Biol. 216:671-680(1999).
1607	11679672	"An extensive class of small RNAs in Caenorhabditis elegans"	Lee RC, Ambros V	Science. 294:862-864(2001).
1608	11679670	"Identification of novel genes coding for small expressed RNAs"	Lagos-Quintana M, Rauhut R, Lendeckel W, Tuschl T	Science. 294:853-858(2001).
1609	17589500	"Intronic microRNA precursors that bypass Drosha processing"	Ruby JG, Jan CH, Bartel DP	Nature. 448:83-86(2007).
1610	15183728	"Human embryonic stem cells express a unique set of microRNAs"	Suh MR, Lee Y, Kim JY, Kim SK, Moon SH, Lee JY, Cha KY, Chung HM, Yoon HS, Moon SY, Kim VN, Kim KS	Dev Biol. 270:488-498(2004).
1611	12554860	"Numerous microRNPs in neuronal cells containing novel microRNAs"	Dostie J, Mourelatos Z, Yang M, Sharma A, Dreyfuss G	RNA. 9:180-186(2003).
1612	14573789	"Reduced accumulation of specific microRNAs in colorectal neoplasia"	Michael MZ, O' Connor SM, van Holst Pellekaan NG, Young GP, James RJ	Mol Cancer Res. 1:882-891(2003).
1613	15325244	"Altered expression profiles of microRNAs during TPA-induced differentiation of HL-60 cells"	Kasashima K, Nakamura Y, Kozu T	Biochem Biophys Res Commun. 322:403-410(2004).
1614	17604727	"A mammalian microRNA expression atlas based on small RNA library sequencing"	Landgraf P, Rusu M, Sheridan R, Sewer A, Iovino N, Aravin A, Pfeffer S, Rice A, Kamphorst AO, Landthaler M, Lin C, Socci ND, Hermida L, Fulci V, Chiaretti S, Foa R, Schliwka J, Fuchs U, Novosel A, Muller RU, Schermer B, Bissels U, Inman J, Phan Q, Chien M	Cell. 129:1401-1414(2007).
1615	17616659	"Patterns of known and novel small RNAs in human cervical cancer"	Lui WO, Pourmand N, Patterson BK, Fire A	Cancer Res. 67:6031-6043(2007).
1616	17989717	"Small RNAs analysis in CLL reveals a deregulation of miRNA expression and novel miRNA candidates of putative relevance in CLL pathogenesis"	Marton S, Garcia MR, Robello C, Persson H, Trajtenberg F, Pritsch O, Rovira C, Naya H, Dighiero G, Cayota A	Leukemia. 22:330-338(2008).
1617	20158877	"Analysis of deep sequencing microRNA expression profile from human embryonic stem cells derived mesenchymal stem cells reveals possible role of let-7 microRNA family in downstream targeting of hepatic nuclear factor 4 alpha"	Koh W, Sheng CT, Tan B, Lee QY, Kuznetsov V, Kiang LS, Tanavde V	BMC Genomics. 11 Suppl 1:S6(2010).
1618	19015728	"MicroRNA expression patterns and function in endodermal differentiation of human  embryonic stem cells"	Tzur G, Levy A, Meiri E, Barad O, Spector Y, Bentwich Z, Mizrahi L, Katzenellenbogen M, Ben-Shushan E, Reubinoff BE, Galun E	PLoS One. 3:e3726(2008).
1619	12434020	"Frequent deletions and down-regulation of micro- RNA genes miR15 and miR16 at 13q14 in chronic lymphocytic leukemia"	Calin GA, Dumitru CD, Shimizu M, Bichi R, Zupo S, Noch E, Aldler H, Rattan S, Keating M, Rai K, Rassenti L, Kipps T, Negrini M, Bullrich F, Croce CM	Proc Natl Acad Sci U S A. 99:15524-15529(2002).
1620	11914277	"miRNPs: a novel class of ribonucleoproteins containing numerous microRNAs"	Mourelatos Z, Dostie J, Paushkin S, Sharma A, Charroux B, Abel L, Rappsilber J, Mann M, Dreyfuss G	Genes Dev. 16:720-728(2002).
1621	12624257	"Vertebrate microRNA genes"	Lim LP, Glasner ME, Yekta S, Burge CB, Bartel DP	Science. 299:1540(2003).
1622	15978578	"Identification of human fetal liver miRNAs by a novel method"	Fu H, Tie Y, Xu C, Zhang Z, Zhu J, Shi Y, Jiang H, Sun Z, Zheng X	FEBS Lett. 579:3849-3854(2005).
1623	12808467	"Hes1 is a target of microRNA-23 during retinoic-acid-induced neuronal differentiation of NT2 cells"	Kawasaki H, Taira K	Nature. 423:838-842(2003).
1624	12554859	"New microRNAs from mouse and human"	Lagos-Quintana M, Rauhut R, Meyer J, Borkhardt A, Tuschl T	RNA. 9:175-179(2003).
1625	18230126	"New miRNAs cloned from neuroblastoma"	Afanasyeva EA, Hotz-Wagenblatt A, Glatting KH, Westermann F	BMC Genomics. 9:52(2008).
1626	12919684	"Embryonic stem cell-specific MicroRNAs"	Houbaviy HB, Murray MF, Sharp PA	Dev Cell. 5:351-358(2003).
1627	19144710	"Identification of novel Epstein-Barr virus microRNA genes from nasopharyngeal carcinomas"	Zhu JY, Pfuhl T, Motsch N, Barth S, Nicholls J, Grasser F, Meister G	J Virol. 83:3333-3341(2009).
1628	12812784	"Temporal regulation of microRNA expression in Drosophila melanogaster mediated by hormonal signals and broad-Complex gene activity"	Sempere LF, Sokol NS, Dubrovsky EB, Berger EM, Ambros V	Dev Biol. 259:9-18(2003).
1629	12919683	"The small RNA profile during Drosophila melanogaster development"	Aravin AA, Lagos-Quintana M, Yalcin A, Zavolan M, Marks D, Snyder B, Gaasterland T, Meyer J, Tuschl T	Dev Cell. 5:337-350(2003).
