Array Design Name	Exiqon miRCURY LNA microRNA Array v.10.0 - hsa, mmu & rno, miRBase 12.0 annotation
Provider	Eleanor Williams (ewilliam@ebi.ac.uk);Exiqon A/S
Comment[ArrayExpressAccession]	A-MEXP-1469
Comment[Description]	Exiqon miRCURY LNA microRNA Array<br> Product number 208100_A  <br> miRBase 12.00 annotation<br> Contains human, mouse and rat sequences <br> 
Comment[SubmittedName]	Exiqon miRCURY LNA microRNA Array v.10.0 - hsa, mmu & rno, miRBase 12.0 annotation
Comment[Organism]	Homo sapiens
Printing Protocol	Arrays manufactured by Exiqon (http://www.exiqon.com) using LNA (a high affinity RNA analogue) technology.
Technology Type	unknown_technology_type
Surface Type	unknown_surface_type
Surface Type Term Accession Number	#unknown_surface_type
Surface Type Term Source REF	The MGED Ontology
Substrate Type	unknown_substrate_type
Term Source Name	The MGED Ontology	mirbase
Term Source File	http://mged.sourceforge.net/ontologies/MGEDontology.php	http://microrna.sanger.ac.uk/
Term Source Version	
Comment[AdditionalFile:txt]	A-MEXP-1469_comments.txt

[main]
Block Column	Block Row	Column	Row	Reporter Name	Reporter Database Entry[mirbase]	Reporter Group[role]	Control Type
4	2	2	3	17415	ebv-miR-BART10	Experimental	
4	4	2	3	17415	ebv-miR-BART10	Experimental	
4	6	2	3	17415	ebv-miR-BART10	Experimental	
4	8	2	3	17415	ebv-miR-BART10	Experimental	
2	1	9	4	42485	ebv-miR-BART10*	Experimental	
2	3	9	4	42485	ebv-miR-BART10*	Experimental	
2	5	9	4	42485	ebv-miR-BART10*	Experimental	
2	7	9	4	42485	ebv-miR-BART10*	Experimental	
3	1	16	6	42545	ebv-miR-BART11-3p	Experimental	
3	3	16	6	42545	ebv-miR-BART11-3p	Experimental	
3	5	16	6	42545	ebv-miR-BART11-3p	Experimental	
3	7	16	6	42545	ebv-miR-BART11-3p	Experimental	
2	2	14	3	17283	ebv-miR-BART11-5p	Experimental	
2	4	14	3	17283	ebv-miR-BART11-5p	Experimental	
2	6	14	3	17283	ebv-miR-BART11-5p	Experimental	
2	8	14	3	17283	ebv-miR-BART11-5p	Experimental	
1	1	8	1	17306	ebv-miR-BART12	Experimental	
1	3	8	1	17306	ebv-miR-BART12	Experimental	
1	5	8	1	17306	ebv-miR-BART12	Experimental	
1	7	8	1	17306	ebv-miR-BART12	Experimental	
4	2	13	1	27537	ebv-miR-BART13	Experimental	
4	4	13	1	27537	ebv-miR-BART13	Experimental	
4	6	13	1	27537	ebv-miR-BART13	Experimental	
4	8	13	1	27537	ebv-miR-BART13	Experimental	
4	1	8	7	42882	ebv-miR-BART13*	Experimental	
4	3	8	7	42882	ebv-miR-BART13*	Experimental	
4	5	8	7	42882	ebv-miR-BART13*	Experimental	
4	7	8	7	42882	ebv-miR-BART13*	Experimental	
4	2	9	1	17519	ebv-miR-BART1-3p	Experimental	
4	4	9	1	17519	ebv-miR-BART1-3p	Experimental	
4	6	9	1	17519	ebv-miR-BART1-3p	Experimental	
4	8	9	1	17519	ebv-miR-BART1-3p	Experimental	
4	2	8	2	17623	ebv-miR-BART14	Experimental	
4	4	8	2	17623	ebv-miR-BART14	Experimental	
4	6	8	2	17623	ebv-miR-BART14	Experimental	
4	8	8	2	17623	ebv-miR-BART14	Experimental	
3	1	11	1	17655	ebv-miR-BART14*	Experimental	
3	3	11	1	17655	ebv-miR-BART14*	Experimental	
3	5	11	1	17655	ebv-miR-BART14*	Experimental	
3	7	11	1	17655	ebv-miR-BART14*	Experimental	
2	2	1	5	42897	ebv-miR-BART15	Experimental	
2	4	1	5	42897	ebv-miR-BART15	Experimental	
2	6	1	5	42897	ebv-miR-BART15	Experimental	
2	8	1	5	42897	ebv-miR-BART15	Experimental	
3	2	4	3	17541	ebv-miR-BART1-5p	Experimental	
3	4	4	3	17541	ebv-miR-BART1-5p	Experimental	
3	6	4	3	17541	ebv-miR-BART1-5p	Experimental	
3	8	4	3	17541	ebv-miR-BART1-5p	Experimental	
4	2	8	1	17358	ebv-miR-BART16	Experimental	
4	4	8	1	17358	ebv-miR-BART16	Experimental	
4	6	8	1	17358	ebv-miR-BART16	Experimental	
4	8	8	1	17358	ebv-miR-BART16	Experimental	
1	1	9	6	42773	ebv-miR-BART17-3p	Experimental	
1	3	9	6	42773	ebv-miR-BART17-3p	Experimental	
1	5	9	6	42773	ebv-miR-BART17-3p	Experimental	
1	7	9	6	42773	ebv-miR-BART17-3p	Experimental	
1	1	15	9	42943	ebv-miR-BART17-5p	Experimental	
1	3	15	9	42943	ebv-miR-BART17-5p	Experimental	
1	5	15	9	42943	ebv-miR-BART17-5p	Experimental	
1	7	15	9	42943	ebv-miR-BART17-5p	Experimental	
3	2	4	5	42466	ebv-miR-BART18-3p	Experimental	
3	4	4	5	42466	ebv-miR-BART18-3p	Experimental	
3	6	4	5	42466	ebv-miR-BART18-3p	Experimental	
3	8	4	5	42466	ebv-miR-BART18-3p	Experimental	
2	1	11	1	17657	ebv-miR-BART18-5p	Experimental	
2	3	11	1	17657	ebv-miR-BART18-5p	Experimental	
2	5	11	1	17657	ebv-miR-BART18-5p	Experimental	
2	7	11	1	17657	ebv-miR-BART18-5p	Experimental	
3	2	2	6	42522	ebv-miR-BART19-3p	Experimental	
3	4	2	6	42522	ebv-miR-BART19-3p	Experimental	
3	6	2	6	42522	ebv-miR-BART19-3p	Experimental	
3	8	2	6	42522	ebv-miR-BART19-3p	Experimental	
4	1	12	4	42613	ebv-miR-BART19-5p	Experimental	
4	3	12	4	42613	ebv-miR-BART19-5p	Experimental	
4	5	12	4	42613	ebv-miR-BART19-5p	Experimental	
4	7	12	4	42613	ebv-miR-BART19-5p	Experimental	
4	1	5	3	17585	ebv-miR-BART20-3p	Experimental	
4	3	5	3	17585	ebv-miR-BART20-3p	Experimental	
4	5	5	3	17585	ebv-miR-BART20-3p	Experimental	
4	7	5	3	17585	ebv-miR-BART20-3p	Experimental	
1	2	5	3	17636	ebv-miR-BART20-5p	Experimental	
1	4	5	3	17636	ebv-miR-BART20-5p	Experimental	
1	6	5	3	17636	ebv-miR-BART20-5p	Experimental	
1	8	5	3	17636	ebv-miR-BART20-5p	Experimental	
2	1	6	8	42974	ebv-miR-BART2-3p	Experimental	
2	3	6	8	42974	ebv-miR-BART2-3p	Experimental	
2	5	6	8	42974	ebv-miR-BART2-3p	Experimental	
2	7	6	8	42974	ebv-miR-BART2-3p	Experimental	
2	2	6	2	17402	ebv-miR-BART2-5p	Experimental	
2	4	6	2	17402	ebv-miR-BART2-5p	Experimental	
2	6	6	2	17402	ebv-miR-BART2-5p	Experimental	
2	8	6	2	17402	ebv-miR-BART2-5p	Experimental	
3	1	5	3	17589	ebv-miR-BART3	Experimental	
3	3	5	3	17589	ebv-miR-BART3	Experimental	
3	5	5	3	17589	ebv-miR-BART3	Experimental	
3	7	5	3	17589	ebv-miR-BART3	Experimental	
4	2	4	3	17539	ebv-miR-BART3*	Experimental	
4	4	4	3	17539	ebv-miR-BART3*	Experimental	
4	6	4	3	17539	ebv-miR-BART3*	Experimental	
4	8	4	3	17539	ebv-miR-BART3*	Experimental	
3	2	8	1	17359	ebv-miR-BART4	Experimental	
3	4	8	1	17359	ebv-miR-BART4	Experimental	
3	6	8	1	17359	ebv-miR-BART4	Experimental	
3	8	8	1	17359	ebv-miR-BART4	Experimental	
3	2	7	2	17532	ebv-miR-BART5	Experimental	
3	4	7	2	17532	ebv-miR-BART5	Experimental	
3	6	7	2	17532	ebv-miR-BART5	Experimental	
3	8	7	2	17532	ebv-miR-BART5	Experimental	
4	2	16	3	17561	ebv-miR-BART6-3p	Experimental	
4	4	16	3	17561	ebv-miR-BART6-3p	Experimental	
4	6	16	3	17561	ebv-miR-BART6-3p	Experimental	
4	8	16	3	17561	ebv-miR-BART6-3p	Experimental	
4	1	1	5	42855	ebv-miR-BART6-5p	Experimental	
4	3	1	5	42855	ebv-miR-BART6-5p	Experimental	
4	5	1	5	42855	ebv-miR-BART6-5p	Experimental	
4	7	1	5	42855	ebv-miR-BART6-5p	Experimental	
1	1	12	4	42616	ebv-miR-BART7	Experimental	
1	3	12	4	42616	ebv-miR-BART7	Experimental	
1	5	12	4	42616	ebv-miR-BART7	Experimental	
1	7	12	4	42616	ebv-miR-BART7	Experimental	
2	2	5	8	42954	ebv-miR-BART7*	Experimental	
2	4	5	8	42954	ebv-miR-BART7*	Experimental	
2	6	5	8	42954	ebv-miR-BART7*	Experimental	
2	8	5	8	42954	ebv-miR-BART7*	Experimental	
1	1	16	3	17509	ebv-miR-BART8	Experimental	
1	3	16	3	17509	ebv-miR-BART8	Experimental	
1	5	16	3	17509	ebv-miR-BART8	Experimental	
1	7	16	3	17509	ebv-miR-BART8	Experimental	
4	1	2	3	17328	ebv-miR-BART8*	Experimental	
4	3	2	3	17328	ebv-miR-BART8*	Experimental	
4	5	2	3	17328	ebv-miR-BART8*	Experimental	
4	7	2	3	17328	ebv-miR-BART8*	Experimental	
3	1	2	3	17332	ebv-miR-BART9	Experimental	
3	3	2	3	17332	ebv-miR-BART9	Experimental	
3	5	2	3	17332	ebv-miR-BART9	Experimental	
3	7	2	3	17332	ebv-miR-BART9	Experimental	
3	1	6	7	42824	ebv-miR-BART9*	Experimental	
3	3	6	7	42824	ebv-miR-BART9*	Experimental	
3	5	6	7	42824	ebv-miR-BART9*	Experimental	
3	7	6	7	42824	ebv-miR-BART9*	Experimental	
3	2	11	6	42906	ebv-miR-BHRF1-1	Experimental	
3	4	11	6	42906	ebv-miR-BHRF1-1	Experimental	
3	6	11	6	42906	ebv-miR-BHRF1-1	Experimental	
3	8	11	6	42906	ebv-miR-BHRF1-1	Experimental	
4	2	5	8	42951	ebv-miR-BHRF1-2	Experimental	
4	4	5	8	42951	ebv-miR-BHRF1-2	Experimental	
4	6	5	8	42951	ebv-miR-BHRF1-2	Experimental	
4	8	5	8	42951	ebv-miR-BHRF1-2	Experimental	
3	2	16	3	17562	ebv-miR-BHRF1-2*	Experimental	
3	4	16	3	17562	ebv-miR-BHRF1-2*	Experimental	
3	6	16	3	17562	ebv-miR-BHRF1-2*	Experimental	
3	8	16	3	17562	ebv-miR-BHRF1-2*	Experimental	
