MI0000092	hsa-mir-91 	hsa-mir-91-13 	MI0000071 	miR-91 is expressed from the 5' arm of the mir-17 precursor hairpin. 
MI0000096	hsa-mir-93-2 	hsa-mir-93-7.2 	MI0000095 	Mourelatos et al. identified two copies of mir-93, but subsequent genome assemblies suggest they map to a single locus. 
MI0000099	hsa-mir-97-6 		MI0000088 	miR-97 appears to be expressed from the same precursor sequence of the mir-30a precursor hairpin.  The sequence is renamed miR-30a-5p. 
MI0000104	hsa-mir-101-9 		MI0000739 	Duplicate entry removed. 
MI0000106	hsa-mir-29b-3 	hsa-mir-102-7.2 hsa-mir-102-3 	MI0000105 	Mourelatos et al. identified two copies of mir-102, which map to a single locus in subsequent genome assemblies.  mir-102 was later renamed to  mir-29b. 
MI0000110	hsa-mir-104 	hsa-mir-104-17 	MI0000077 	The mir-104 precursor sequence reported by Mourelatos et al. is the exact reverse complement of mir-21 from Lagos-Quintana et al. 
MI0000149	mmu-mir-123 		MI0000153 	Mouse miR-123 originates from the same precursor as miR-126. 
MI0000219	ath-MIR180a 		MI0000215 	MIR180a is renamed MIR172a. 
MI0000220	ath-MIR180b 		MI0000216 	MIR180b is renamed MIR172b. 
MI0000258	mmu-mir-1b 		MI0000139 	The 3' end of miR-1b conflicts with the precursor sequences and genome assemblies.  miR-1b, 1c and 1d are merged into mir-1-1 and mir-1-2. 
MI0000260	hsa-mir-124b 		MI0000716 	miR-124b is not found in either mouse or human genome assemblies so is removed. 
MI0000278	hsa-mir-196-1 		MI0000238 	Remove duplicate entry. 
MI0000280	hsa-mir-199a-1 		MI0000242 	Remove duplicate entry. 
MI0000332	cel-mir-227 		MI0000051 	miR-227 appears to be expressed from the 5' arm of the mir-80 precursor hairpin. 
MI0000372	dme-mir-263a 		MI0000343 	Remove duplicate entry. 
MI0000396	mmu-mir-297-2 		MI0000395 	Remove low complexity duplicate entry. 
MI0000435	hsa-mir-1b-1 		MI0000651 	The 3' end of miR-1b conflicts with the precursor sequences and genome assemblies.  miR-1b, 1c and 1d are merged into mir-1-1 and mir-1-2. 
MI0000436	hsa-mir-1b-2 		MI0000651 	The 3' end of miR-1b conflicts with the precursor sequences and genome assemblies.  miR-1b, 1c and 1d are merged into mir-1-1 and mir-1-2. 
MI0000485	hsa-mir-189 		MI0000080 	miR-189 appears to be expressed from the same precursor hairpin as miR-24.  Entries are merged. 
