AC   MIPF0000001
ID   mir-17
MI   MI0000071  hsa-mir-17
MI   MI0000072  hsa-mir-18a
MI   MI0000076  hsa-mir-20a
MI   MI0000095  hsa-mir-93
MI   MI0000113  hsa-mir-106a
MI   MI0000406  mmu-mir-106a
MI   MI0000407  mmu-mir-106b
MI   MI0000567  mmu-mir-18a
MI   MI0000568  mmu-mir-20a
MI   MI0000581  mmu-mir-93
MI   MI0000638  rno-mir-20a
MI   MI0000687  mmu-mir-17
MI   MI0000734  hsa-mir-106b
MI   MI0000845  rno-mir-17-1
MI   MI0000846  rno-mir-18a
MI   MI0000880  rno-mir-93
MI   MI0000889  rno-mir-106b
MI   MI0001181  gga-mir-20a
MI   MI0001183  gga-mir-18a
MI   MI0001184  gga-mir-17
MI   MI0001209  gga-mir-18b
MI   MI0001210  gga-mir-106
MI   MI0001453  xla-mir-20
MI   MI0001454  xla-mir-18
MI   MI0001517  gga-mir-20b
MI   MI0001518  hsa-mir-18b
MI   MI0001519  hsa-mir-20b
MI   MI0001897  dre-mir-17a-1
MI   MI0001898  dre-mir-17a-2
MI   MI0001899  dre-mir-20b
MI   MI0001900  dre-mir-18a
MI   MI0001901  dre-mir-18b
MI   MI0001902  dre-mir-18c
MI   MI0001907  dre-mir-20a
MI   MI0001954  dre-mir-93
MI   MI0002412  ssc-mir-106a
MI   MI0002423  ssc-mir-20
MI   MI0002455  ssc-mir-18
MI   MI0002965  ggo-mir-17
MI   MI0002966  ggo-mir-18
MI   MI0002968  ggo-mir-20
MI   MI0002971  lca-mir-17
MI   MI0002972  lca-mir-18
MI   MI0002974  lca-mir-20
MI   MI0002977  age-mir-17
MI   MI0002978  age-mir-18
MI   MI0002980  age-mir-20
MI   MI0002983  ppa-mir-17
MI   MI0002984  ppa-mir-18
MI   MI0002986  ppa-mir-20
MI   MI0002989  ppy-mir-17
MI   MI0002990  ppy-mir-18
MI   MI0002992  ppy-mir-20
MI   MI0002995  ptr-mir-17
MI   MI0002996  ptr-mir-18a
MI   MI0002998  ptr-mir-20a
MI   MI0003001  mml-mir-17
MI   MI0003002  mml-mir-18
MI   MI0003004  mml-mir-20a
MI   MI0003007  sla-mir-17
MI   MI0003008  sla-mir-18
MI   MI0003010  sla-mir-20
MI   MI0003013  lla-mir-17
MI   MI0003014  lla-mir-18
MI   MI0003016  lla-mir-20
MI   MI0003019  mne-mir-17
MI   MI0003020  mne-mir-18
MI   MI0003022  mne-mir-20
MI   MI0003059  ggo-mir-106b
MI   MI0003060  ggo-mir-93
MI   MI0003062  age-mir-106b
MI   MI0003063  age-mir-93
MI   MI0003064  ppa-mir-106b
MI   MI0003065  ppa-mir-93
MI   MI0003067  ppy-mir-106b
MI   MI0003068  ppy-mir-93
MI   MI0003070  ptr-mir-106b
MI   MI0003071  ptr-mir-93
MI   MI0003073  mml-mir-106b
MI   MI0003074  mml-mir-93
MI   MI0003076  sla-mir-106b
MI   MI0003077  sla-mir-93
MI   MI0003078  lla-mir-106b
MI   MI0003079  lla-mir-93
MI   MI0003081  mne-mir-106b
MI   MI0003082  mne-mir-93
MI   MI0003096  ggo-mir-106a
MI   MI0003099  age-mir-106a
MI   MI0003102  ppa-mir-106a
MI   MI0003107  mml-mir-106a
MI   MI0003109  ppy-mir-106a
MI   MI0003112  ptr-mir-106a
MI   MI0003115  sla-mir-106a
MI   MI0003120  mne-mir-106a
MI   MI0003231  fru-mir-17-1
MI   MI0003232  tni-mir-17-1
MI   MI0003233  fru-mir-18
MI   MI0003234  tni-mir-18
MI   MI0003441  fru-mir-17-2
MI   MI0003442  tni-mir-17-2
MI   MI0003443  fru-mir-20
MI   MI0003444  tni-mir-20
MI   MI0003536  mmu-mir-20b
MI   MI0003554  rno-mir-20b
MI   MI0004732  bta-mir-18b
MI   MI0004740  bta-mir-18a
MI   MI0004741  bta-mir-20a
MI   MI0004803  xtr-mir-17
MI   MI0004822  xtr-mir-106
MI   MI0004893  xtr-mir-18a
MI   MI0004900  xtr-mir-93a
MI   MI0004901  xtr-mir-93b
MI   MI0004911  xtr-mir-20a
MI   MI0004959  xtr-mir-18b
MI   MI0004961  xtr-mir-20b
MI   MI0005005  bta-mir-106
MI   MI0005015  bta-mir-20b
MI   MI0005031  bta-mir-17
MI   MI0005050  bta-mir-93
MI   MI0005354  mdo-mir-17
MI   MI0005355  mdo-mir-18
MI   MI0005357  mdo-mir-20
MI   MI0005369  mdo-mir-93
MI   MI0005483  mmu-mir-18b
MI   MI0006131  rno-mir-17-2
MI   MI0006693  oan-mir-106
MI   MI0006694  oan-mir-18
MI   MI0006695  oan-mir-20b
MI   MI0006872  oan-mir-20a-1
MI   MI0006874  oan-mir-20a-2
MI   MI0006960  oan-mir-17
MI   MI0007590  mml-mir-18b
MI   MI0007591  mml-mir-20b
MI   MI0008050  cfa-mir-17
MI   MI0008052  cfa-mir-20
MI   MI0008109  cfa-mir-106b
MI   MI0008110  cfa-mir-93
MI   MI0008173  cfa-mir-106a
MI   MI0008214  ssc-mir-17
MI   MI0008562  ptr-mir-18b
MI   MI0008579  ptr-mir-20b
//
AC   MIPF0000002
ID   let-7
MI   MI0000001  cel-let-7
MI   MI0000060  hsa-let-7a-1
MI   MI0000061  hsa-let-7a-2
MI   MI0000062  hsa-let-7a-3
MI   MI0000063  hsa-let-7b
MI   MI0000064  hsa-let-7c
MI   MI0000065  hsa-let-7d
MI   MI0000066  hsa-let-7e
MI   MI0000067  hsa-let-7f-1
MI   MI0000068  hsa-let-7f-2
MI   MI0000100  hsa-mir-98
MI   MI0000137  mmu-let-7g
MI   MI0000138  mmu-let-7i
MI   MI0000405  mmu-let-7d
MI   MI0000416  dme-let-7
MI   MI0000433  hsa-let-7g
MI   MI0000434  hsa-let-7i
MI   MI0000491  cbr-let-7
MI   MI0000556  mmu-let-7a-1
MI   MI0000557  mmu-let-7a-2
MI   MI0000558  mmu-let-7b
MI   MI0000559  mmu-let-7c-1
MI   MI0000560  mmu-let-7c-2
MI   MI0000561  mmu-let-7e
MI   MI0000562  mmu-let-7f-1
MI   MI0000563  mmu-let-7f-2
MI   MI0000586  mmu-mir-98
MI   MI0000601  rno-let-7d
MI   MI0000827  rno-let-7a-1
MI   MI0000828  rno-let-7a-2
MI   MI0000829  rno-let-7b
MI   MI0000830  rno-let-7c-1
MI   MI0000831  rno-let-7c-2
MI   MI0000832  rno-let-7e
MI   MI0000833  rno-let-7f-1
MI   MI0000834  rno-let-7f-2
MI   MI0000835  rno-let-7i
MI   MI0000882  rno-mir-98
MI   MI0001168  gga-let-7i
MI   MI0001171  gga-let-7a-3
MI   MI0001172  gga-let-7b
MI   MI0001174  gga-let-7c
MI   MI0001230  gga-let-7g
MI   MI0001232  gga-let-7d
MI   MI0001233  gga-let-7f
MI   MI0001234  gga-let-7a-1
MI   MI0001259  gga-let-7a-2
MI   MI0001262  gga-let-7j
MI   MI0001263  gga-let-7k
MI   MI0001288  dps-let-7
MI   MI0001600  aga-let-7
MI   MI0001857  dre-let-7a-1
MI   MI0001858  dre-let-7a-2
MI   MI0001860  dre-let-7a-3
MI   MI0001861  dre-let-7a-4
MI   MI0001862  dre-let-7a-5
MI   MI0001863  dre-let-7a-6
MI   MI0001865  dre-let-7b
MI   MI0001866  dre-let-7c-1
MI   MI0001867  dre-let-7c-2
MI   MI0001868  dre-let-7d-1
MI   MI0001870  dre-let-7d-2
MI   MI0001871  dre-let-7e
MI   MI0001872  dre-let-7f
MI   MI0001873  dre-let-7g-1
MI   MI0001874  dre-let-7g-2
MI   MI0001875  dre-let-7h
MI   MI0001876  dre-let-7i
MI   MI0002445  ssc-let-7c
MI   MI0002446  ssc-let-7f
MI   MI0002447  ssc-let-7i
MI   MI0002696  mml-mir-98
MI   MI0002697  ptr-mir-98
MI   MI0002698  ggo-mir-98
MI   MI0002699  ppy-mir-98
MI   MI0002700  age-mir-98
MI   MI0002701  ppa-mir-98
MI   MI0003207  fru-let-7h
MI   MI0003208  tni-let-7h
MI   MI0003213  fru-let-7e
MI   MI0003214  tni-let-7e
MI   MI0003244  fru-let-7a-3
MI   MI0003245  tni-let-7a-3
MI   MI0003295  fru-let-7i
